date,depth,temperature,density,salinity,latitude,longitude,region
2002-08-11,924.8,6.394,1027.339966,34.796,-4.931,90.149,Equatorial Region
2003-01-01,14.3,3.874,1026.884033,33.85,-48.945,54.541,Indian Ocean
2003-01-01,599.3,8.507,1027.072998,34.843,-6.316,80.424,Equatorial Region
2003-01-01,2020.0,2.65,1027.708984,34.74,-5.817,97.471,Equatorial Region
2003-01-01,179.0,13.365,1026.046021,34.647,-8.019,71.678,Equatorial Region
2003-01-01,14.0,28.826,1022.203979,35.106,-9.713,55.322,Equatorial Region
2003-01-01,0.0,0.0,999.843018,0.0,-54.416,52.77,Indian Ocean
2003-01-01,59.1,3.913,1026.871948,33.839,-49.751,48.368,Indian Ocean
2003-01-01,23.0,28.57,1022.174011,34.953,-0.101,83.737,Equatorial Region
2003-01-01,1197.8,4.153,1029.505005,37.181,-15.336,113.75,Indian Ocean
2003-01-01,259.1,11.566,1026.583984,34.887,-7.307,103.491,Equatorial Region
2003-01-02,199.3,14.013,1026.411987,35.293,8.573,64.732,Equatorial Region
2003-01-02,24.1,-0.059,0.0,33.822,-58.327,31.006,Indian Ocean
2003-01-02,1899.1,2.651,1027.624023,34.634,-35.641,100.937,Indian Ocean
2003-01-02,138.9,0.3,1027.380981,34.121,-55.439,49.049,Indian Ocean
2003-01-02,923.9,9.386,1027.411987,35.456,18.837,65.478,Arabian Sea
2003-01-02,339.4,10.777,1026.77002,34.941,-4.386,79.593,Equatorial Region
2003-01-02,7.4,28.691,1022.307007,35.183,-2.102,83.305,Equatorial Region
2003-01-02,323.0,11.09,1026.775024,35.02,0.67,82.66,Equatorial Region
2003-01-02,5.6,28.466,1022.61499,35.494,1.554,68.529,Equatorial Region
2003-01-02,159.4,17.529,1025.865967,35.623,12.501,64.294,Arabian Sea
2003-01-02,49.6,18.057,1025.852051,35.774,-30.761,77.139,Indian Ocean
2003-01-02,99.4,15.724,1026.266968,35.592,-36.194,58.513,Indian Ocean
2003-01-03,119.6,18.169,1025.812988,35.759,-29.329,113.341,Indian Ocean
2003-01-03,289.4,2.606,1027.155029,34.042,-48.597,56.266,Indian Ocean
2003-01-03,1499.5,3.838,1027.547974,34.68,-24.383,38.055,Indian Ocean
2003-01-03,224.4,13.78,1026.234009,35.0,12.62,86.29,Bay of Bengal
2003-01-03,6.7,28.908,1021.771973,34.567,0.98,89.302,Equatorial Region
2003-01-03,209.0,2.538,1027.06604,33.924,-47.377,54.362,Indian Ocean
2003-01-03,8.1,25.878,1024.258057,36.569,17.372,61.864,Arabian Sea
2003-01-03,822.3,9.6,1027.39502,35.48,12.42,56.53,Indian Ocean
2003-01-03,339.2,7.3,1026.891968,34.384,-44.164,80.906,Indian Ocean
2003-01-03,249.0,10.584,1026.665039,34.762,-44.683,77.377,Indian Ocean
2003-01-03,223.4,16.85,1026.141968,35.77,15.81,59.22,Indian Ocean
2003-01-03,899.1,8.28,1027.344971,35.144,5.521,63.013,Equatorial Region
2003-01-03,399.3,10.359,1026.890015,35.0,1.84,91.903,Equatorial Region
2003-01-03,14.5,0.003,1027.027954,33.664,-57.41,22.189,Indian Ocean
2003-01-03,899.3,2.451,1027.587036,34.566,-49.852,62.223,Indian Ocean
2003-01-03,59.2,26.767,1024.182983,36.842,16.609,66.656,Arabian Sea
2003-01-04,449.1,9.541,1026.796021,34.701,-43.885,76.571,Indian Ocean
2003-01-04,249.4,11.169,1026.656006,34.886,-44.786,76.572,Indian Ocean
2003-01-04,54.7,28.344,1022.69397,35.546,1.534,85.6,Equatorial Region
2003-01-04,9.4,22.067,1024.614014,35.544,-29.687,84.375,Indian Ocean
2003-01-04,1699.4,3.581,1027.660034,34.787,-1.875,70.068,Equatorial Region
2003-01-04,799.4,2.381,1027.55896,34.524,-49.985,64.438,Indian Ocean
2003-01-04,159.4,2.212,1027.071045,33.897,-51.341,65.61,Indian Ocean
2003-01-04,1799.2,3.585,1027.703003,34.842,7.165,61.512,Equatorial Region
2003-01-04,9.3,22.858,1024.218994,35.32,-25.873,105.98,Indian Ocean
2003-01-04,451.5,9.06,1026.906006,34.741,-16.532,118.679,Indian Ocean
2003-01-04,48.9,26.026,1024.417969,36.842,19.533,66.714,Arabian Sea
2003-01-04,999.2,9.132,1027.437988,35.435,22.383,64.533,Arabian Sea
2003-01-04,199.5,16.339,1026.235962,35.735,14.277,65.719,Arabian Sea
2003-01-04,29.2,18.297,1025.671021,35.616,-34.82,110.106,Indian Ocean
2003-01-05,948.7,5.888,1027.089966,34.397,-38.323,76.525,Indian Ocean
2003-01-05,49.4,14.28,1026.260986,35.172,-40.275,76.7,Indian Ocean
2003-01-05,59.6,13.919,1026.313965,35.141,-41.952,79.279,Indian Ocean
2003-01-05,1899.0,2.787,1027.620972,34.645,-32.41,47.616,Indian Ocean
2003-01-05,739.3,8.294,1026.89502,34.574,-26.351,105.147,Indian Ocean
2003-01-05,1299.1,5.265,1027.279053,34.539,-31.189,34.827,Indian Ocean
2003-01-05,349.5,9.407,1026.802979,34.682,-43.429,78.586,Indian Ocean
2003-01-05,999.2,2.242,1027.689941,34.673,-51.792,70.274,Indian Ocean
2003-01-05,1199.3,4.479,1027.439941,34.629,-23.181,105.655,Indian Ocean
2003-01-05,739.3,7.238,1027.095947,34.632,-9.566,118.176,Equatorial Region
2003-01-05,79.6,21.981,1024.588989,35.479,4.004,62.459,Equatorial Region
2003-01-05,240.0,12.714,1028.594971,37.764,-13.858,114.227,Indian Ocean
2003-01-05,219.4,1.65,1027.223999,34.034,-52.734,71.893,Indian Ocean
2003-01-05,129.5,17.369,1025.510986,35.11,-2.913,65.434,Equatorial Region
2003-01-06,739.4,10.982,1026.725952,34.932,-30.35,47.159,Indian Ocean
2003-01-06,375.0,13.16,1026.572021,35.272,-25.191,54.516,Indian Ocean
2003-01-06,109.4,17.164,1026.05896,35.759,-30.761,111.269,Indian Ocean
2003-01-06,170.4,13.258,1026.44104,35.128,-0.244,84.417,Equatorial Region
2003-01-06,139.5,16.981,1025.739014,35.285,0.106,63.162,Equatorial Region
2003-01-06,619.0,7.922,1027.072021,34.728,-10.362,110.371,Indian Ocean
2003-01-06,279.3,18.475,1025.797974,35.84,-19.688,101.829,Indian Ocean
2003-01-06,416.5,9.854,1026.884033,34.881,-4.976,89.548,Equatorial Region
2003-01-06,1503.0,4.097,1027.609985,34.791,-4.435,94.193,Equatorial Region
2003-01-07,375.0,14.082,1026.464966,35.381,-28.043,54.381,Indian Ocean
2003-01-07,269.2,12.253,1026.661987,35.156,-37.811,81.96,Indian Ocean
2003-01-07,69.9,23.63,1024.074951,35.426,-2.903,62.726,Equatorial Region
2003-01-07,1499.1,3.378,1027.588989,34.673,-12.126,119.962,Indian Ocean
2003-01-07,8.3,20.013,1025.214966,35.597,-34.442,69.141,Indian Ocean
2003-01-07,999.4,5.597,1027.286011,34.599,-20.609,54.06,Indian Ocean
