date,depth,temperature,density,salinity,latitude,longitude,region
2010-01-01,1534.0,1.257,1027.801025,34.718,-60.684,111.747,Indian Ocean
2010-01-01,482.0,-0.193,0.0,34.558,-66.7,74.193,Indian Ocean
2010-01-01,1500.0,3.032,1027.489014,34.507,-38.412,108.525,Indian Ocean
2010-01-01,439.4,9.149,1026.880981,34.727,-12.432,62.211,Indian Ocean
2010-01-01,4.0,6.606,1026.442017,33.693,-45.78,54.413,Indian Ocean
2010-01-01,998.2,4.784,1027.359009,34.57,-21.628,98.336,Indian Ocean
2010-01-01,948.7,6.562,1027.33606,34.819,-9.241,51.77,Equatorial Region
2010-01-01,139.2,14.882,1026.328979,35.428,-38.653,59.406,Indian Ocean
2010-01-01,19.3,28.437,1022.179016,34.901,-3.321,78.971,Equatorial Region
2010-01-01,52.0,-1.788,0.0,34.301,-63.294,99.841,Indian Ocean
2010-01-01,4.7,28.278,1022.401978,35.128,-2.615,71.113,Equatorial Region
2010-01-01,999.1,6.856,1027.415039,34.969,-2.541,68.796,Equatorial Region
2010-01-01,1550.5,2.037,1027.779053,34.763,-52.133,36.397,Indian Ocean
2010-01-01,756.0,7.832,1026.920044,34.518,-32.583,98.702,Indian Ocean
2010-01-01,39.7,26.257,1023.18103,35.3,-5.529,75.745,Equatorial Region
2010-01-01,1750.0,0.768,1027.812012,34.691,-54.785,42.046,Indian Ocean
2010-01-01,1005.8,4.39,1027.254028,34.383,-40.371,36.755,Indian Ocean
2010-01-01,0.1,27.26,996.455017,0.013,6.975,79.87,Equatorial Region
2010-01-01,4.6,28.622,1022.208984,35.022,-3.725,80.982,Equatorial Region
2010-01-01,105.0,10.936,1026.631958,34.8,-38.851,119.655,Indian Ocean
2010-01-01,2001.5,2.853,1027.719971,34.776,16.698,88.071,Bay of Bengal
2010-01-01,175.0,14.49,1026.409058,35.422,-33.329,57.705,Indian Ocean
2010-01-01,419.2,10.169,1026.920044,34.996,-0.329,90.871,Equatorial Region
2010-01-01,713.0,3.317,1027.295044,34.297,-45.73,98.374,Indian Ocean
2010-01-01,749.2,8.344,1027.215942,34.993,12.168,84.454,Bay of Bengal
2010-01-01,800.4,9.911,1026.770996,34.748,-29.065,47.85,Indian Ocean
2010-01-01,1596.0,2.822,1027.660034,34.698,-40.066,27.187,Indian Ocean
2010-01-01,850.4,7.579,1027.30603,34.961,6.365,85.298,Bay of Bengal
2010-01-01,450.4,11.4,1026.937012,35.301,9.986,53.746,Equatorial Region
2010-01-01,89.1,22.171,1025.146973,36.284,24.533,58.724,Indian Ocean
2010-01-01,5.8,28.636,1021.497009,34.081,-6.359,74.336,Equatorial Region
2010-01-01,130.0,20.57,1025.13501,35.687,-23.81,86.978,Indian Ocean
2010-01-01,117.5,12.95,1026.515015,35.144,-40.063,131.314,Indian Ocean
2010-01-01,2000.2,2.506,1027.702026,34.715,-13.381,117.496,Indian Ocean
2010-01-01,339.4,11.77,1026.740967,35.139,5.21,68.075,Equatorial Region
2010-01-01,1296.0,3.33,1027.415039,34.45,-38.724,134.136,Indian Ocean
2010-01-01,1788.0,7.451,1026.947021,34.481,-46.797,128.224,Indian Ocean
2010-01-01,4.3,26.339,1023.111023,35.241,-24.205,63.04,Indian Ocean
2010-01-01,920.0,3.04,1027.386963,34.38,-44.986,28.527,Indian Ocean
2010-01-01,100.2,17.837,1025.765015,35.589,-32.906,36.069,Indian Ocean
2010-01-01,19.9,26.253,1023.021973,35.087,-18.285,60.787,Indian Ocean
2010-01-01,679.1,7.323,1027.152954,34.72,-12.683,85.946,Indian Ocean
2010-01-01,210.1,18.558,1025.81897,35.895,-23.271,99.993,Indian Ocean
2010-01-01,1050.5,5.366,1027.160034,34.404,-29.509,78.748,Indian Ocean
2010-01-01,375.5,15.277,1026.839966,36.204,11.004,45.691,Indian Ocean
2010-01-01,159.4,14.516,1026.375977,35.386,-30.061,64.854,Indian Ocean
2010-01-01,1978.9,2.371,1027.69104,34.687,-28.529,69.222,Indian Ocean
2010-01-01,4.5,23.29,1019.195984,28.849,20.547,91.256,Bay of Bengal
2010-01-01,259.5,12.754,1026.23999,34.739,-11.854,77.519,Indian Ocean
2010-01-01,279.3,11.941,1026.656006,35.071,-0.804,60.981,Equatorial Region
2010-01-01,240.4,16.764,1026.016968,35.581,-12.502,60.799,Indian Ocean
2010-01-01,482.0,9.822,1026.968994,34.983,-1.416,93.447,Equatorial Region
2010-01-01,649.5,8.734,1026.842041,34.593,-36.677,101.12,Indian Ocean
2010-01-01,963.0,3.857,1027.296997,34.366,-41.484,62.721,Indian Ocean
2010-01-01,814.0,1.94,1027.746948,34.713,-55.894,94.136,Indian Ocean
2010-01-01,276.9,12.324,1026.594971,35.087,-0.115,66.275,Equatorial Region
2010-01-01,5.5,12.584,1026.401978,34.904,-41.24,96.885,Indian Ocean
2010-01-01,10.3,0.417,1027.047974,33.716,-56.224,41.194,Indian Ocean
2010-01-01,5.0,17.01,1022.661011,31.282,-39.982,76.18,Indian Ocean
