date,depth,temperature,density,salinity,latitude,longitude,region
2014-01-01,4.1,5.514,1026.694946,33.839,-50.652,106.778,Indian Ocean
2014-01-01,306.0,16.418,1026.05603,35.525,-34.789,38.421,Indian Ocean
2014-01-01,399.2,12.831,1026.605957,35.23,-31.935,63.949,Indian Ocean
2014-01-01,26.0,2.619,1027.008057,33.859,-57.359,112.204,Indian Ocean
2014-01-01,199.5,21.265,1024.839966,35.548,-22.249,52.616,Indian Ocean
2014-01-01,52.0,27.321,1021.208008,33.127,15.197,86.623,Bay of Bengal
2014-01-01,1994.0,2.676,1027.732056,34.772,12.841,85.773,Bay of Bengal
2014-01-01,1025.7,7.036,1027.016968,34.496,-34.617,27.519,Indian Ocean
2014-01-01,956.0,2.278,1027.686035,34.671,-55.644,118.722,Indian Ocean
2014-01-01,45.0,5.272,1026.530029,33.594,-48.537,72.832,Indian Ocean
2014-01-01,850.0,2.18,1027.720947,34.705,-56.611,61.733,Indian Ocean
2014-01-01,1972.0,2.354,1027.725952,34.729,-44.237,89.319,Indian Ocean
2014-01-01,336.0,7.838,1026.876953,34.464,-43.984,61.005,Indian Ocean
2014-01-01,490.0,8.947,1026.812012,34.598,-47.097,134.324,Indian Ocean
2014-01-01,1017.8,6.91,1027.067993,34.539,-35.685,24.178,Indian Ocean
2014-01-01,18.0,22.087,1024.594971,35.526,-39.101,24.05,Indian Ocean
2014-01-01,4.5,6.478,1026.588989,33.858,-49.903,110.245,Indian Ocean
2014-01-01,115.0,17.111,1025.484985,34.995,-6.214,85.547,Equatorial Region
2014-01-01,794.0,8.917,1027.246948,35.147,8.959,68.269,Equatorial Region
2014-01-01,405.0,11.142,1026.707031,34.944,-38.937,87.911,Indian Ocean
2014-01-01,3.0,14.483,1026.119019,35.044,-41.597,120.984,Indian Ocean
2014-01-01,156.0,5.049,1026.912964,34.045,-47.95,101.524,Indian Ocean
2014-01-01,270.4,15.522,1026.224976,35.478,-31.511,40.457,Indian Ocean
2014-01-01,1995.9,2.433,1027.704956,34.711,-25.536,111.104,Indian Ocean
2014-01-01,799.0,6.132,1027.274048,34.669,-17.708,109.775,Indian Ocean
2014-01-01,450.3,13.941,1026.963989,35.988,20.078,59.064,Indian Ocean
2014-01-01,130.0,21.14,1024.777954,35.421,5.859,68.06,Equatorial Region
2014-01-01,1032.0,4.448,1027.258057,34.395,-29.337,99.392,Indian Ocean
2014-01-01,441.0,2.612,1027.371948,34.314,-47.808,49.045,Indian Ocean
2014-01-01,5.5,3.68,1026.915039,33.864,-50.83,41.673,Indian Ocean
2014-01-01,700.6,8.548,1027.192017,35.002,7.627,86.382,Bay of Bengal
2014-01-01,5.5,8.576,1026.344971,33.928,-46.224,34.207,Indian Ocean
2014-01-01,5.0,7.989,1026.516968,34.034,-51.563,134.65,Indian Ocean
2014-01-01,920.0,8.966,1026.862061,34.665,-36.355,55.688,Indian Ocean
2014-01-01,4.8,13.609,1026.38501,35.149,-41.548,80.449,Indian Ocean
2014-01-01,1.0,29.123,1021.862,34.783,-9.377,71.81,Equatorial Region
2014-01-01,538.0,9.458,1026.968994,34.905,-3.84,60.975,Equatorial Region
2014-01-01,1172.0,2.096,1027.727051,34.704,-52.395,101.701,Indian Ocean
2014-01-01,134.0,21.357,1024.228027,34.777,16.196,89.431,Bay of Bengal
2014-01-01,29.8,10.279,1026.116943,33.991,-42.447,53.343,Indian Ocean
2014-01-01,1995.9,2.835,1027.728027,34.784,13.461,87.992,Bay of Bengal
2014-01-01,94.0,24.323,1023.478027,34.909,9.859,85.819,Bay of Bengal
2014-01-01,310.0,14.575,1026.405029,35.44,-27.085,71.632,Indian Ocean
2014-01-01,899.9,7.141,1026.973022,34.459,-47.098,131.436,Indian Ocean
2014-01-01,49.7,1.391,1027.053955,33.799,-56.536,91.106,Indian Ocean
2014-01-01,1899.6,1.546,1027.802002,34.745,-55.109,88.778,Indian Ocean
2014-01-01,1549.7,3.218,1027.521973,34.57,-31.545,78.386,Indian Ocean
2014-01-01,16.0,27.199,1021.932983,34.039,11.531,86.199,Bay of Bengal
2014-01-01,1100.1,7.465,1027.531006,35.226,10.673,55.897,Indian Ocean
2014-01-01,30.5,26.341,1023.783997,36.134,10.74,61.519,Arabian Sea
2014-01-01,1100.3,8.093,1027.496948,35.301,13.314,62.03,Arabian Sea
