date,depth,temperature,density,salinity,latitude,longitude,region
2005-01-01,298.7,14.856,1026.396973,35.509,-15.633,66.712,Indian Ocean
2005-01-01,279.1,8.877,1026.83606,34.614,-46.746,133.772,Indian Ocean
2005-01-01,1987.0,2.622,1027.718018,34.748,-8.638,54.402,Equatorial Region
2005-01-01,54.6,22.008,1024.411987,35.256,-20.082,84.669,Indian Ocean
2005-01-01,259.1,10.871,1026.66394,34.826,-41.464,88.427,Indian Ocean
2005-01-01,3.7,3.41,1026.968018,33.898,-50.98,51.232,Indian Ocean
2005-01-01,4.5,27.817,1022.411011,34.939,-13.641,69.829,Indian Ocean
2005-01-01,289.5,2.145,1027.212036,34.066,-48.179,46.898,Indian Ocean
2005-01-01,219.4,3.444,1027.042969,33.997,-47.476,62.121,Indian Ocean
2005-01-01,899.1,4.177,1027.219971,34.311,-45.899,120.314,Indian Ocean
2005-01-01,4.4,15.392,1025.42395,34.4,-39.922,47.512,Indian Ocean
2005-01-01,279.5,14.202,1026.446045,35.389,-37.873,57.783,Indian Ocean
2005-01-01,39.3,-0.099,0.0,33.849,-61.581,119.885,Indian Ocean
2005-01-01,8.5,18.232,1025.738037,35.682,-35.74,117.505,Indian Ocean
2005-01-01,339.1,13.036,1026.584961,35.257,-26.552,49.921,Indian Ocean
2005-01-01,69.7,20.526,1024.994995,35.488,5.455,58.029,Equatorial Region
2005-01-01,649.3,11.138,1026.713013,34.951,-39.968,67.068,Indian Ocean
2005-01-01,730.0,3.819,1027.276001,34.335,-42.204,52.189,Indian Ocean
2005-01-01,83.0,22.688,1024.112061,35.115,-18.296,99.988,Indian Ocean
2005-01-01,944.7,2.763,1027.491943,34.481,-50.7,129.945,Indian Ocean
2005-01-01,29.1,3.264,1027.027954,33.956,-53.234,103.656,Indian Ocean
2005-01-01,99.2,18.987,1025.526001,35.655,-27.627,50.734,Indian Ocean
2005-01-01,4.2,28.046,1021.864014,34.311,-13.809,81.542,Indian Ocean
2005-01-01,29.6,21.17,1025.029053,35.762,-29.273,83.924,Indian Ocean
2005-01-01,3074.0,22.268,1024.237061,35.123,-27.699,97.923,Indian Ocean
2005-01-01,329.1,10.544,1026.704956,34.804,-39.337,48.947,Indian Ocean
2005-01-02,259.0,13.444,1026.430054,35.164,-40.433,43.425,Indian Ocean
2005-01-02,99.4,17.92,1025.927002,35.828,-31.472,114.143,Indian Ocean
2005-01-02,5.0,19.563,1025.286011,35.535,-37.009,62.551,Indian Ocean
2005-01-02,498.9,2.384,1027.427979,34.36,-50.922,49.162,Indian Ocean
2005-01-02,275.0,15.395,1026.235962,35.455,-33.784,35.911,Indian Ocean
2005-01-02,59.3,5.602,1026.697998,33.856,-45.377,50.747,Indian Ocean
2005-01-02,8.9,28.192,1022.224976,34.855,-16.919,66.077,Indian Ocean
2005-01-02,8.0,27.475,1022.322021,34.674,-18.123,51.368,Indian Ocean
2005-01-02,1430.0,2.289,1027.735962,34.735,-47.88,53.254,Indian Ocean
2005-01-02,859.0,6.118,1027.078979,34.419,-33.687,108.874,Indian Ocean
2005-01-02,108.7,23.13,1024.98999,36.44,18.26,64.03,Arabian Sea
2005-01-02,59.4,25.02,1006.130981,12.11,15.88,52.76,Indian Ocean
2005-01-02,155.0,15.322,1026.060059,35.205,-2.991,52.369,Equatorial Region
2005-01-02,1948.8,1.962,1027.786011,34.764,-43.924,50.9,Indian Ocean
2005-01-02,8.0,15.439,1026.022949,35.192,-42.042,24.0,Indian Ocean
2005-01-02,762.0,9.88,1026.748047,34.712,-36.873,57.643,Indian Ocean
2005-01-02,2010.0,1.352,1027.758057,34.673,-56.14,72.247,Indian Ocean
2005-01-02,774.6,8.087,1026.885986,34.522,-40.985,107.879,Indian Ocean
2005-01-02,49.4,23.46,1024.051025,35.329,-24.706,42.375,Indian Ocean
2005-01-02,1349.0,3.911,1027.55603,34.699,-15.797,62.581,Indian Ocean
2005-01-02,149.3,14.944,1026.187012,35.262,4.528,53.665,Equatorial Region
2005-01-02,85.0,17.104,1025.620972,35.17,-4.012,58.8,Equatorial Region
2005-01-02,1999.0,2.402,1027.706055,34.709,-29.696,107.711,Indian Ocean
2005-01-03,524.3,8.944,1026.842041,34.635,-37.901,139.638,Indian Ocean
2005-01-03,7.7,28.793,1022.237,35.135,-1.886,74.509,Equatorial Region
2005-01-03,58.9,24.752,1023.296997,34.84,-18.893,52.148,Indian Ocean
