date,depth,temperature,density,salinity,latitude,longitude,region
2015-01-01,1564.0,2.72,1027.57,34.57,-39.549,135.9,Indian Ocean
2015-01-01,1846.0,2.77,1027.67,34.71,-21.897,72.109,Indian Ocean
2015-01-01,90.1,22.83,1024.99,36.33,24.83,59.82,Indian Ocean
2015-01-01,538.0,11.73,1026.67,35.04,-28.069,62.885,Indian Ocean
2015-01-01,120.5,14.46,1026.28,35.24,5.835,52.017,Equatorial Region
2015-01-01,1099.7,8.04,1027.52,35.32,19.956,64.801,Arabian Sea
2015-01-01,366.0,-1.83,1027.61,34.3,-66.433,119.876,Indian Ocean
2015-01-01,49.3,25.59,1024.02,36.14,16.869,62.523,Arabian Sea
2015-01-01,1199.0,7.76,1027.54,35.29,24.388,62.95,Arabian Sea
2015-01-01,64.9,24.95,1024.6,36.64,22.872,63.865,Arabian Sea
2015-01-01,70.4,12.18,1026.45,34.87,-46.855,139.696,Indian Ocean
2015-01-01,1986.0,2.48,1027.68,34.69,-31.971,104.034,Indian Ocean
2015-01-01,1970.0,3.16,1027.73,34.83,12.243,61.681,Arabian Sea
2015-01-01,4.8,27.07,1023.92,36.63,13.336,67.043,Arabian Sea
2015-01-01,1899.6,2.63,1027.71,34.74,-19.319,75.127,Indian Ocean
2015-01-01,538.0,8.85,1026.94,34.75,-9.806,85.268,Equatorial Region
2015-01-01,1972.1,2.35,1027.72,34.72,-24.027,99.526,Indian Ocean
2015-01-01,913.0,6.86,1027.3,34.83,-4.538,61.884,Equatorial Region
2015-01-01,155.0,17.07,1025.87,35.48,11.488,67.174,Arabian Sea
2015-01-01,388.0,11.7,1026.67,35.03,-30.291,94.571,Indian Ocean
2015-01-01,1950.1,2.7,1027.76,34.81,-41.73,24.028,Indian Ocean
2015-01-01,600.4,12.07,1026.64,35.08,-37.524,44.516,Indian Ocean
2015-01-01,99.5,23.7,1023.74,35.01,-17.195,67.004,Indian Ocean
2015-01-01,1926.0,2.49,1027.69,34.71,-24.793,107.073,Indian Ocean
2015-01-01,310.1,16.58,1026.12,35.67,-20.48,80.035,Indian Ocean
2015-01-01,30.0,25.89,1024.33,36.67,18.152,67.296,Arabian Sea
2015-01-01,1899.6,2.55,1027.65,34.66,-39.152,93.374,Indian Ocean
2015-01-01,1902.0,1.71,1027.79,34.75,-52.089,62.028,Indian Ocean
2015-01-01,1100.3,6.22,1027.47,34.93,-0.898,86.066,Equatorial Region
2015-01-01,80.4,12.54,1026.6,35.15,-42.219,137.166,Indian Ocean
2015-01-01,1900.3,3.51,1027.74,34.88,17.226,63.592,Arabian Sea
2015-01-01,1064.0,6.49,1027.42,34.91,15.881,89.593,Bay of Bengal
2015-01-01,229.1,18.28,1025.8,35.79,-19.518,102.143,Indian Ocean
2015-01-01,367.9,11.05,1026.79,35.04,8.043,88.322,Bay of Bengal
2015-01-01,1634.0,2.95,1027.56,34.59,-33.858,97.952,Indian Ocean
2015-01-01,538.0,9.53,1027.03,34.99,-1.202,72.863,Equatorial Region
2015-01-01,9.5,16.48,1025.69,35.07,-39.32,86.807,Indian Ocean
2015-01-01,1813.0,3.19,1027.68,34.76,-5.234,82.235,Equatorial Region
2015-01-01,150.0,20.06,1025.21,35.6,-21.605,53.445,Indian Ocean
2015-01-01,642.0,11.38,1026.68,34.97,-37.195,40.709,Indian Ocean
2015-01-01,920.0,2.35,1027.65,34.64,-52.446,62.224,Indian Ocean
2015-01-01,420.0,12.03,1026.91,35.42,12.611,65.65,Arabian Sea
2015-01-01,129.0,15.5,1026.1,35.32,-27.69,35.525,Indian Ocean
2015-01-01,164.0,-1.83,1027.58,34.26,-66.134,120.436,Indian Ocean
2015-01-01,59.3,7.57,1026.5,33.94,-46.265,29.861,Indian Ocean
2015-01-01,550.1,2.45,1027.49,34.45,-49.999,38.804,Indian Ocean
2015-01-01,167.4,8.79,1026.74,34.47,-43.906,26.598,Indian Ocean
2015-01-01,89.9,26.24,1022.98,35.04,-11.945,44.907,Indian Ocean
2015-01-01,141.0,15.78,1026.2,35.53,-35.237,52.469,Indian Ocean
2015-01-01,1836.0,2.52,1027.66,34.66,-30.243,74.648,Indian Ocean
2015-01-01,29.6,25.02,1024.24,36.19,19.146,59.02,Indian Ocean
2015-01-01,256.0,12.57,1026.58,35.13,-31.78,89.22,Indian Ocean
2015-01-01,1749.0,2.2,1027.73,34.72,-50.492,86.076,Indian Ocean
2015-01-01,494.0,10.71,1026.72,34.87,-24.657,82.826,Indian Ocean
2015-01-01,688.0,11.4,1026.68,34.98,-36.844,36.552,Indian Ocean
2015-01-01,68.0,22.41,1024.49,35.51,-25.13,83.745,Indian Ocean
2015-01-01,1428.0,3.35,1027.45,34.5,-32.662,79.408,Indian Ocean
2015-01-01,381.0,9.8,1026.79,34.75,-37.855,139.837,Indian Ocean
2015-01-01,1235.0,6.68,1027.6,35.17,22.615,62.927,Arabian Sea
2015-01-01,399.2,11.73,1026.67,35.03,-30.128,80.347,Indian Ocean
2015-01-01,170.2,5.03,1026.93,34.06,-48.905,97.609,Indian Ocean
2015-01-01,516.0,10.17,1026.74,34.77,-41.764,95.544,Indian Ocean
2015-01-01,383.4,6.09,1026.98,34.29,-48.19,92.679,Indian Ocean
2015-01-01,615.0,10.65,1026.73,34.87,-22.839,68.853,Indian Ocean
2015-01-01,180.1,12.73,1026.58,35.18,-37.259,107.633,Indian Ocean
2015-01-01,9.0,21.68,1024.65,35.46,-35.336,79.872,Indian Ocean
2015-01-01,1800.2,2.67,1027.68,34.7,-20.392,53.332,Indian Ocean
2015-01-01,60.6,21.65,1024.57,35.34,4.427,50.316,Equatorial Region
2015-01-01,100.0,20.23,1025.25,35.72,-24.731,81.493,Indian Ocean
2015-01-01,219.8,12.6,1026.65,35.23,0.507,58.07,Equatorial Region
2015-01-01,1026.0,5.96,1027.09,34.42,-36.293,46.059,Indian Ocean
2015-01-01,1272.0,3.17,1027.53,34.57,-32.15,86.385,Indian Ocean
2015-01-01,464.0,-1.78,1027.6,34.29,-66.599,116.42,Indian Ocean
2015-01-01,938.0,5.06,1027.2,34.41,-27.88,97.721,Indian Ocean
2015-01-01,588.0,8.91,1027.07,34.92,-2.417,96.882,Equatorial Region
2015-01-01,4.4,25.78,1022.75,34.54,-18.618,99.203,Indian Ocean
2015-01-01,1866.0,2.54,1027.66,34.67,-45.584,84.852,Indian Ocean
2015-01-01,1998.1,2.3,1027.72,34.72,-47.036,114.186,Indian Ocean
2015-01-01,1488.0,4.46,1027.6,34.84,1.854,96.23,Equatorial Region
2015-01-01,850.0,7.39,1026.95,34.48,-41.869,113.495,Indian Ocean
2015-01-02,1610.0,0.05,1027.82,34.66,-65.82,47.193,Indian Ocean
2015-01-02,496.0,13.73,1026.98,35.95,23.463,59.731,Indian Ocean
2015-01-02,1448.1,0.52,1027.82,34.68,-64.629,137.153,Indian Ocean
2015-01-02,1789.0,3.39,1027.68,34.8,16.418,89.695,Bay of Bengal
2015-01-02,1.4,26.69,1019.52,30.62,17.45,91.395,Bay of Bengal
2015-01-02,356.0,14.1,1026.47,35.39,-23.934,82.432,Indian Ocean
2015-01-02,1654.0,4.59,1027.69,34.97,18.729,59.924,Indian Ocean
2015-01-02,166.0,19.27,1025.5,35.72,13.081,62.304,Arabian Sea
2015-01-02,1978.7,2.79,1027.73,34.78,13.475,85.774,Bay of Bengal
