date,depth,temperature,density,salinity,latitude,longitude,region
2016-01-01,714.0,7.79,1026.92,34.51,-43.89,100.79,Indian Ocean
2016-01-01,532.0,2.36,1027.55,34.51,-52.95,94.81,Indian Ocean
2016-01-01,2.1,18.7,1025.3,35.26,-40.51,36.95,Indian Ocean
2016-01-01,1.0,29.27,1021.87,34.86,-4.5,60.55,Equatorial Region
2016-01-01,146.0,14.64,1026.37,35.42,-33.36,110.43,Indian Ocean
2016-01-01,159.6,19.51,1025.26,35.49,-37.9,20.98,Indian Ocean
2016-01-01,686.0,2.5,1027.56,34.54,-51.56,110.16,Indian Ocean
2016-01-01,270.0,11.69,1026.43,34.72,-10.06,101.55,Indian Ocean
2016-01-01,1650.1,2.68,1027.58,34.59,-42.68,131.48,Indian Ocean
2016-01-01,4.4,26.4,1022.93,35.03,-20.52,72.16,Indian Ocean
2016-01-01,256.0,1.8,1027.52,34.42,-55.15,110.01,Indian Ocean
2016-01-01,1588.0,3.07,1027.55,34.58,-30.74,97.62,Indian Ocean
2016-01-01,136.0,22.66,1024.14,35.15,-20.34,51.95,Indian Ocean
2016-01-01,1.0,29.34,1022.11,35.22,1.46,75.53,Equatorial Region
2016-01-01,763.0,7.28,1027.23,34.81,-5.77,66.3,Equatorial Region
2016-01-01,88.0,16.57,1026.13,35.67,-33.46,103.06,Indian Ocean
2016-01-01,2003.8,2.56,1027.66,34.67,-35.34,93.33,Indian Ocean
2016-01-01,288.0,14.77,1026.38,35.47,-29.55,94.54,Indian Ocean
2016-01-01,3.9,26.8,1022.95,35.22,-23.34,66.32,Indian Ocean
2016-01-01,438.0,11.02,1026.88,35.14,7.84,68.75,Equatorial Region
2016-01-01,208.0,12.39,1026.62,35.13,-33.78,109.33,Indian Ocean
2016-01-01,72.0,26.39,1022.83,34.89,-14.52,78.27,Indian Ocean
2016-01-01,1652.0,2.95,1027.52,34.54,-38.51,107.37,Indian Ocean
2016-01-01,156.0,17.78,1025.76,35.57,-31.63,37.05,Indian Ocean
2016-01-01,39.0,13.57,1026.26,34.98,-40.94,115.13,Indian Ocean
2016-01-01,1899.9,2.49,1027.69,34.71,-25.72,110.75,Indian Ocean
2016-01-01,1814.0,3.65,1027.72,34.88,13.52,60.34,Arabian Sea
2016-01-01,72.6,4.08,1026.79,33.76,-49.27,65.2,Indian Ocean
2016-01-01,1000.7,3.04,1027.41,34.41,-44.14,39.52,Indian Ocean
2016-01-01,20.0,29.22,1022.3,35.42,-0.58,69.18,Equatorial Region
2016-01-01,1748.0,3.53,1027.68,34.81,2.8,70.81,Equatorial Region
2016-01-01,750.1,2.66,1027.48,34.46,-53.5,132.08,Indian Ocean
2016-01-01,60.0,13.13,1026.32,34.94,-41.05,87.61,Indian Ocean
2016-01-01,60.8,23.44,1024.04,35.3,-2.74,64.13,Equatorial Region
2016-01-01,5.5,8.19,1026.63,34.22,-50.1,121.4,Indian Ocean
2016-01-01,600.2,2.97,1027.36,34.34,-55.14,130.83,Indian Ocean
2016-01-01,865.1,2.77,1027.44,34.42,-51.0,95.5,Indian Ocean
2016-01-01,189.2,12.42,1026.61,35.14,-36.71,79.95,Indian Ocean
2016-01-01,375.1,12.8,1026.6,35.22,-37.5,63.81,Indian Ocean
2016-01-01,100.6,4.87,1026.71,33.77,-44.16,53.06,Indian Ocean
2016-01-01,1995.4,2.46,1027.7,34.71,-20.51,110.91,Indian Ocean
2016-01-01,1620.0,2.86,1027.63,34.67,-26.0,99.74,Indian Ocean
2016-01-01,279.3,18.44,1025.73,35.74,-23.34,74.56,Indian Ocean
2016-01-01,204.0,0.91,1027.31,34.09,-52.85,41.82,Indian Ocean
2016-01-01,6.1,13.55,1026.24,34.94,-41.83,94.29,Indian Ocean
2016-01-01,39.7,17.06,1025.85,35.47,-36.99,55.79,Indian Ocean
2016-01-01,1487.0,2.31,1027.72,34.72,-51.78,121.34,Indian Ocean
2016-01-01,1113.0,3.04,1027.42,34.43,-46.94,30.57,Indian Ocean
2016-01-01,1984.9,2.56,1027.7,34.72,-29.88,49.71,Indian Ocean
2016-01-01,250.0,12.62,1026.61,35.18,7.71,65.9,Equatorial Region
2016-01-01,80.5,6.41,1026.64,33.91,-47.75,24.4,Indian Ocean
2016-01-01,82.0,-1.78,1027.57,34.25,-66.36,118.38,Indian Ocean
2016-01-01,206.0,20.19,1025.19,35.64,-16.02,80.91,Indian Ocean
2016-01-01,1287.9,6.89,1027.55,35.15,15.05,66.69,Arabian Sea
2016-01-01,1864.0,2.7,1027.61,34.63,-37.37,67.09,Indian Ocean
2016-01-01,670.0,8.05,1026.9,34.54,-24.27,107.54,Indian Ocean
2016-01-01,1989.0,1.49,1027.81,34.75,-54.98,64.86,Indian Ocean
2016-01-01,1799.8,2.61,1027.65,34.66,-28.36,64.55,Indian Ocean
2016-01-01,6.0,3.23,1026.94,33.85,-55.52,121.66,Indian Ocean
2016-01-01,68.0,23.12,1024.15,35.33,-21.08,75.24,Indian Ocean
2016-01-01,1979.3,2.31,1027.73,34.73,-41.79,50.41,Indian Ocean
2016-01-01,2.4,3.52,1026.92,33.85,-50.65,67.26,Indian Ocean
2016-01-01,1148.0,4.72,1027.43,34.65,-17.31,54.31,Indian Ocean
2016-01-01,1753.9,2.51,1027.65,34.65,-34.31,124.81,Indian Ocean
2016-01-01,742.0,2.66,1027.52,34.5,-53.52,139.72,Indian Ocean
2016-01-01,1199.6,7.79,1027.54,35.3,22.21,63.57,Arabian Sea
2016-01-01,329.8,13.08,1026.57,35.25,-36.13,58.12,Indian Ocean
2016-01-01,1058.0,5.33,1027.46,34.78,-4.95,103.2,Equatorial Region
2016-01-01,1137.9,4.12,1027.34,34.46,-26.18,78.84,Indian Ocean
2016-01-01,1422.0,2.1,1027.75,34.73,-54.5,118.98,Indian Ocean
2016-01-01,279.5,12.03,1026.65,35.08,3.2,75.4,Equatorial Region
2016-01-01,1198.5,4.84,1027.45,34.7,-14.24,82.86,Indian Ocean
2016-01-01,263.0,4.85,1022.38,28.29,-48.35,23.52,Indian Ocean
2016-01-01,112.3,5.04,1026.79,33.89,-47.15,41.65,Indian Ocean
2016-01-01,226.0,16.51,1026.14,35.66,-20.57,77.87,Indian Ocean
2016-01-01,362.0,2.61,1027.35,34.29,-56.05,139.99,Indian Ocean
2016-01-01,26.7,10.76,1026.47,34.55,-46.55,116.96,Indian Ocean
2016-01-01,441.0,9.13,1026.82,34.65,-45.12,137.61,Indian Ocean
2016-01-01,347.3,11.04,1026.71,34.92,-7.52,81.6,Equatorial Region
2016-01-01,120.3,21.93,1024.33,35.12,-10.17,77.3,Indian Ocean
2016-01-01,1776.0,2.61,1027.63,34.64,-44.79,84.18,Indian Ocean
2016-01-02,398.0,9.8,1026.78,34.74,-18.52,111.07,Indian Ocean
2016-01-02,1018.0,7.04,1027.44,35.03,6.41,66.63,Equatorial Region
2016-01-02,85.0,5.82,1026.66,33.84,-46.96,38.44,Indian Ocean
2016-01-02,1682.0,2.94,1027.61,34.65,-25.69,97.64,Indian Ocean
2016-01-02,205.4,22.35,1028.43,40.66,27.15,34.29,Indian Ocean
2016-01-02,1888.0,2.98,1027.71,34.78,15.58,88.06,Bay of Bengal
2016-01-02,16.0,27.13,1018.92,30.01,18.63,92.11,Bay of Bengal
2016-01-02,5.5,14.08,1026.08,34.89,-41.2,94.41,Indian Ocean
2016-01-02,1976.0,2.37,1027.69,34.69,-28.9,72.7,Indian Ocean
2016-01-02,1413.0,2.03,1027.76,34.73,-57.51,131.2,Indian Ocean
2016-01-02,6.0,5.68,1026.7,33.87,-50.3,88.81,Indian Ocean
2016-01-02,1594.0,3.2,1027.62,34.69,-18.12,64.69,Indian Ocean
2016-01-02,1688.0,2.4,1027.72,34.73,-47.74,36.39,Indian Ocean
2016-01-02,3.8,9.29,1026.15,33.83,-44.3,38.12,Indian Ocean
2016-01-02,349.5,12.69,1026.79,35.43,3.69,48.7,Equatorial Region
2016-01-02,1982.0,2.69,1027.73,34.78,-1.74,94.23,Equatorial Region
2016-01-02,1947.1,2.81,1027.71,34.76,-2.99,57.64,Equatorial Region
2016-01-02,1749.9,2.3,1027.7,34.7,-51.07,138.95,Indian Ocean
2016-01-02,1288.0,2.34,1027.71,34.71,-48.44,46.38,Indian Ocean
