date,depth,temperature,density,salinity,latitude,longitude,region
2004-01-01,699.4,1.887,1027.713989,34.667,-54.683,84.789,Indian Ocean
2004-01-01,69.4,27.838,1022.750977,35.401,1.376,80.981,Equatorial Region
2004-01-01,29.6,27.813,1022.573975,35.154,-1.728,69.168,Equatorial Region
2004-01-01,899.1,5.303,1027.161011,34.396,-30.471,112.016,Indian Ocean
2004-01-01,6.0,26.775,1022.877991,35.115,-26.359,55.791,Indian Ocean
2004-01-01,59.3,26.748,1023.778992,36.298,8.94,65.47,Equatorial Region
2004-01-01,1011.8,7.706,1027.401978,35.107,9.438,66.525,Equatorial Region
2004-01-01,1078.7,6.864,1027.465942,35.035,3.309,61.957,Equatorial Region
2004-01-01,279.1,11.406,1026.723022,35.027,0.24,63.346,Equatorial Region
2004-01-01,299.2,12.088,1026.819946,35.318,8.578,56.66,Equatorial Region
2004-01-01,49.0,17.407,1026.005005,35.766,-33.154,106.498,Indian Ocean
2004-01-01,5.6,26.896,1022.754028,35.002,-17.823,60.587,Indian Ocean
2004-01-01,924.2,6.611,1027.344971,34.839,-4.621,93.474,Equatorial Region
2004-01-01,7.0,26.488,1022.836975,34.94,-16.993,74.292,Indian Ocean
2004-01-01,1999.2,2.391,1027.696045,34.696,-26.516,73.686,Indian Ocean
2004-01-01,34.3,22.747,1024.202026,35.256,-19.067,100.443,Indian Ocean
2004-01-01,489.9,10.037,1026.97998,35.044,12.021,83.754,Bay of Bengal
2004-01-01,209.9,14.506,1026.024048,34.927,9.456,87.339,Bay of Bengal
2004-01-01,1497.8,3.954,1027.607056,34.769,-6.039,91.14,Equatorial Region
2004-01-01,195.0,13.033,1026.58606,35.257,-38.396,77.039,Indian Ocean
2004-01-01,39.1,25.506,1023.497009,35.409,0.664,48.717,Equatorial Region
2004-01-01,999.2,7.794,1027.41394,35.139,2.059,46.764,Equatorial Region
2004-01-01,1663.0,2.85,1024.130981,30.28,-36.985,91.027,Indian Ocean
2004-01-01,239.4,11.403,1026.785034,35.106,6.32,49.817,Equatorial Region
2004-01-02,16.1,26.5,1024.192017,36.741,15.352,65.162,Arabian Sea
2004-01-02,269.4,11.732,1026.77002,35.166,3.794,48.607,Equatorial Region
2004-01-02,355.0,23.449,1018.41803,27.878,-22.545,42.938,Indian Ocean
2004-01-02,599.3,8.15,1027.090942,34.796,-8.206,70.13,Equatorial Region
2004-01-02,4.5,28.75,1022.036987,34.85,-5.62,49.144,Equatorial Region
2004-01-02,77.9,26.867,1023.038025,35.366,5.112,59.777,Equatorial Region
2004-01-02,109.2,21.155,1024.589966,35.18,-11.208,40.948,Indian Ocean
2004-01-02,449.1,13.079,1026.597046,35.283,-35.477,65.648,Indian Ocean
2004-01-02,1991.3,3.188,1027.733032,34.831,11.497,65.873,Arabian Sea
2004-01-02,19.7,28.12,1022.08197,34.634,-9.539,112.67,Equatorial Region
2004-01-02,4.3,27.849,1020.388,32.262,15.566,89.23,Bay of Bengal
