date,depth,temperature,density,salinity,latitude,longitude,region
2002-01-01,79.1,20.238,1025.208008,35.666,-29.443,48.745,Indian Ocean
2002-01-01,2170.6,2.23,1027.744019,34.739,-13.193,109.432,Indian Ocean
2002-01-01,736.3,7.482,1027.218994,34.833,-4.237,91.254,Equatorial Region
2002-01-01,1899.4,3.123,1027.713013,34.798,1.259,62.542,Equatorial Region
2002-01-01,479.5,9.891,1026.94397,34.966,-0.45,60.584,Equatorial Region
2002-01-01,896.1,6.192,1027.319946,34.737,-5.192,91.48,Equatorial Region
2002-01-01,1199.3,5.029,1027.225952,34.437,-32.568,47.064,Indian Ocean
2002-01-01,319.4,12.137,1026.694946,35.17,7.772,67.759,Equatorial Region
2002-01-02,239.1,1.464,1027.177002,33.959,-47.956,25.395,Indian Ocean
2002-01-02,329.5,1.927,1027.333008,34.196,-49.622,22.311,Indian Ocean
2002-01-02,739.8,6.21,1027.204956,34.594,-13.462,121.333,Indian Ocean
2002-01-02,9.0,28.49,1022.723999,35.65,-0.24,63.53,Equatorial Region
2002-01-02,339.5,1.609,1027.639038,34.547,-52.334,22.493,Indian Ocean
2002-01-02,9.3,28.125,1022.866028,35.678,4.779,62.836,Equatorial Region
2002-01-03,598.9,12.071,1026.640991,35.084,-31.74,35.869,Indian Ocean
2002-01-03,858.6,5.534,1027.246948,34.539,-22.647,108.742,Indian Ocean
2002-01-03,79.2,24.545,1022.968018,34.322,-16.805,108.618,Indian Ocean
2002-01-03,149.0,22.21,1028.366943,40.53,19.41,39.0,Indian Ocean
2002-01-03,1899.3,0.196,1027.832031,34.674,-54.97,20.092,Indian Ocean
2002-01-05,178.6,13.464,1025.984985,34.594,-7.256,101.393,Equatorial Region
2002-01-06,458.0,8.541,1027.932983,35.946,-14.373,114.886,Indian Ocean
2002-01-06,279.4,12.55,1026.657959,35.226,8.428,61.348,Equatorial Region
2002-01-06,722.0,7.41,1027.218994,34.82,-4.932,95.969,Equatorial Region
2002-01-06,5.0,29.74,1021.08197,34.02,-5.341,96.733,Equatorial Region
