date,depth,temperature,density,salinity,latitude,longitude,region
2001-01-01,857.6,5.323,1027.348022,34.635,-15.252,114.304,Indian Ocean
2001-01-03,558.2,7.994,1026.98999,34.637,-14.046,107.97,Indian Ocean
2001-01-03,585.3,21.54,1028.598022,40.58,18.18,39.59,Indian Ocean
2001-01-03,299.1,21.52,1028.535034,40.49,24.9,35.01,Indian Ocean
2001-01-04,678.1,6.792,1027.147949,34.62,-15.329,118.507,Indian Ocean
2001-01-05,338.7,10.579,1026.578003,34.649,-12.592,107.575,Indian Ocean
2001-01-05,18.6,23.354,1023.866028,35.044,-23.162,110.352,Indian Ocean
2001-01-06,127.6,22.669,1023.53302,34.345,-11.256,112.566,Indian Ocean
2001-01-07,2103.9,2.295,1027.719971,34.716,-14.158,120.41,Indian Ocean
2001-01-08,2148.6,2.278,1027.72998,34.727,-16.285,108.783,Indian Ocean
2001-01-08,5.0,27.8,1024.932007,38.28,18.19,39.58,Indian Ocean
2001-01-08,239.7,21.62,1028.499023,40.48,24.86,35.01,Indian Ocean
2001-01-08,1697.7,2.883,1027.649048,34.691,-20.997,107.808,Indian Ocean
2001-01-10,1997.3,2.596,1027.71106,34.737,-7.419,101.661,Equatorial Region
2001-01-11,88.9,23.436,1023.578003,34.695,-14.745,114.347,Indian Ocean
2001-01-13,179.4,19.35,1024.769043,34.786,-14.025,107.988,Indian Ocean
2001-01-13,599.5,21.54,1028.598022,40.58,18.11,39.63,Indian Ocean
2001-01-14,1697.4,2.937,1027.651978,34.701,-15.087,118.744,Indian Ocean
2001-01-15,1198.1,4.412,1027.453003,34.636,-12.651,107.521,Indian Ocean
2001-01-15,19.3,23.732,1023.708008,34.981,-23.332,110.326,Indian Ocean
2001-01-16,998.8,5.407,1027.334961,34.631,-11.331,112.586,Indian Ocean
2001-01-17,618.9,7.183,1027.072021,34.592,-14.193,120.274,Indian Ocean
2001-01-18,797.2,5.931,1027.286011,34.651,-16.472,108.626,Indian Ocean
2001-01-18,249.6,21.68,1028.526978,40.54,18.05,39.65,Indian Ocean
2001-01-18,438.8,10.679,1026.750977,34.894,-20.943,107.714,Indian Ocean
2001-01-20,737.1,7.162,1027.198975,34.75,-7.356,101.859,Equatorial Region
2001-01-21,158.0,18.478,1024.905029,34.674,-14.166,114.299,Indian Ocean
2001-01-23,918.6,5.348,1027.338989,34.627,-14.01,108.151,Indian Ocean
2001-01-23,99.6,24.09,1027.255005,39.8,17.95,39.69,Indian Ocean
2001-01-24,1097.0,4.713,1027.405029,34.618,-15.355,118.754,Indian Ocean
2001-01-24,857.3,5.55,1027.291016,34.597,-23.418,110.222,Indian Ocean
2001-01-25,258.7,12.67,1026.23999,34.717,-12.834,107.426,Indian Ocean
