ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
2901284_01/01/2012,0.0,26.923,1022.018005,34.036,2901284_01/01/2012,12.41,83.67,2012-01-01,Bay of Bengal
5903920_01/01/2012,1206.0,4.205,1027.490967,34.656,5903920_01/01/2012,-18.768,104.571,2012-01-01,Indian Ocean
5903318_01/01/2012,51.0,12.198,1026.362061,34.756,5903318_01/01/2012,-41.095,132.384,2012-01-01,Indian Ocean
5903310_01/01/2012,1422.0,3.52,1027.545044,34.636,5903310_01/01/2012,-22.905,70.02,2012-01-01,Indian Ocean
5903586_01/01/2012,258.0,17.525,1026.392944,36.309,5903586_01/01/2012,20.629,65.266,2012-01-01,Arabian Sea
5903692_01/01/2012,4.7,23.174,1024.133057,35.327,5903692_01/01/2012,-25.693,94.287,2012-01-01,Indian Ocean
1900411_01/01/2012,702.0,8.623,1026.917969,34.668,1900411_01/01/2012,-26.54,44.024,2012-01-01,Indian Ocean
1900813_01/01/2012,1476.0,3.228,1027.454956,34.488,1900813_01/01/2012,-32.988,60.676,2012-01-01,Indian Ocean
1900806_01/01/2012,33.0,10.552,1026.529053,34.58,1900806_01/01/2012,-45.888,117.193,2012-01-01,Indian Ocean
2901373_01/01/2012,499.8,12.065,1027.045044,35.602,2901373_01/01/2012,16.551,65.557,2012-01-01,Arabian Sea
5903919_01/01/2012,749.7,5.895,1027.264038,34.617,5903919_01/01/2012,-17.897,103.644,2012-01-01,Indian Ocean
2901334_01/01/2012,518.0,10.029,1026.968018,35.026,2901334_01/01/2012,16.774,88.785,2012-01-01,Bay of Bengal
5901714_01/01/2012,6.3,12.638,1026.381958,34.892,5901714_01/01/2012,-42.052,97.405,2012-01-01,Indian Ocean
5901311_01/01/2012,4.8,22.24,1024.493042,35.449,5901311_01/01/2012,-26.612,97.176,2012-01-01,Indian Ocean
1901164_01/01/2012,1979.6,2.65,1027.689941,34.716,1901164_01/01/2012,-15.464,54.579,2012-01-01,Indian Ocean
5903911_01/01/2012,1014.0,5.35,1027.387939,34.69,5903911_01/01/2012,-10.147,104.055,2012-01-01,Indian Ocean
5902254_01/01/2012,10.9,12.672,1026.202026,34.669,5902254_01/01/2012,-44.82,134.19,2012-01-01,Indian Ocean
1900870_01/01/2012,104.0,17.6,1025.802002,35.562,1900870_01/01/2012,-28.835,59.332,2012-01-01,Indian Ocean
5902250_01/01/2012,20.6,8.067,1026.647949,34.215,5902250_01/01/2012,-47.537,101.988,2012-01-01,Indian Ocean
5902131_01/01/2012,1998.0,2.529,1027.708984,34.727,5902131_01/01/2012,-32.634,46.493,2012-01-01,Indian Ocean
1901397_01/01/2012,1949.9,2.632,1027.685059,34.708,1901397_01/01/2012,-24.67,77.314,2012-01-01,Indian Ocean
2901626_01/01/2012,0.0,27.965,1021.221008,33.42,2901626_01/01/2012,8.476,84.686,2012-01-01,Bay of Bengal
5901928_01/01/2012,819.3,5.752,1027.155029,34.457,5901928_01/01/2012,-21.907,91.457,2012-01-01,Indian Ocean
2901509_01/01/2012,1497.2,4.996,1027.66394,34.985,2901509_01/01/2012,12.725,57.259,2012-01-01,Indian Ocean
2901671_01/01/2012,241.6,11.652,1026.666992,35.015,2901671_01/01/2012,-4.406,81.101,2012-01-01,Equatorial Region
1900410_01/01/2012,6.3,17.199,1025.880005,35.537,1900410_01/01/2012,-39.256,53.966,2012-01-01,Indian Ocean
1900412_01/01/2012,316.0,13.871,1026.482056,35.346,1900412_01/01/2012,-23.801,62.982,2012-01-01,Indian Ocean
1901329_01/01/2012,232.0,1.927,1027.19397,34.022,1901329_01/01/2012,-48.959,74.369,2012-01-01,Indian Ocean
5903914_01/01/2012,2001.6,2.514,1027.712036,34.729,5903914_01/01/2012,-13.529,105.612,2012-01-01,Indian Ocean
2901409_01/01/2012,5.3,24.669,1024.590942,36.517,2901409_01/01/2012,24.902,60.165,2012-01-01,Arabian Sea
1901435_01/01/2012,231.0,2.508,1027.307007,34.222,1901435_01/01/2012,-53.148,84.146,2012-01-01,Indian Ocean
2901407_01/01/2012,274.8,11.963,1026.621948,35.033,2901407_01/01/2012,-3.805,62.884,2012-01-01,Equatorial Region
1901436_01/01/2012,5.5,11.072,1026.563965,34.744,1901436_01/01/2012,-43.976,105.566,2012-01-01,Indian Ocean
1901430_01/01/2012,615.0,11.26,1026.678955,34.936,1901430_01/01/2012,-38.635,63.553,2012-01-01,Indian Ocean
5901316_01/01/2012,822.0,6.612,1027.043945,34.457,5901316_01/01/2012,-21.319,76.845,2012-01-01,Indian Ocean
2901412_01/01/2012,825.4,7.648,1027.282959,34.945,2901412_01/01/2012,-2.354,65.162,2012-01-01,Equatorial Region
5903222_01/01/2012,1200.3,4.339,1027.479004,34.659,5903222_01/01/2012,-13.169,98.415,2012-01-01,Indian Ocean
1901427_01/01/2012,9.0,17.522,1025.727051,35.44,1901427_01/01/2012,-40.476,36.429,2012-01-01,Indian Ocean
2901410_01/01/2012,60.6,23.194,1024.954956,36.419,2901410_01/01/2012,21.756,61.501,2012-01-01,Arabian Sea
2901411_01/01/2012,140.4,19.825,1025.593018,36.027,2901411_01/01/2012,24.499,59.104,2012-01-01,Indian Ocean
5900689_01/01/2012,289.1,12.213,1026.621948,35.095,5900689_01/01/2012,-34.829,123.912,2012-01-01,Indian Ocean
2901329_01/01/2012,288.0,11.521,1026.713989,35.043,2901329_01/01/2012,12.075,85.98,2012-01-01,Bay of Bengal
1900877_01/01/2012,1800.3,1.588,1027.805054,34.752,1900877_01/01/2012,-52.509,54.733,2012-01-01,Indian Ocean
4901014_01/01/2012,520.0,2.374,1027.519043,34.473,4901014_01/01/2012,-53.206,63.527,2012-01-01,Indian Ocean
5900415_01/01/2012,956.0,4.908,1027.374023,34.606,5900415_01/01/2012,-23.799,108.593,2012-01-01,Indian Ocean
1901185_01/01/2012,106.0,17.284,1025.88501,35.571,1901185_01/01/2012,13.777,53.932,2012-01-01,Indian Ocean
5900034_01/01/2012,1799.5,2.861,999.965027,0.0,5900034_01/01/2012,-15.439,81.686,2012-01-01,Indian Ocean
2901325_01/01/2012,1048.2,6.888,1027.376953,34.927,2901325_01/01/2012,1.68,86.903,2012-01-01,Equatorial Region
1901275_01/01/2012,25.5,29.304,1021.789001,34.766,1901275_01/01/2012,-12.283,55.475,2012-01-01,Indian Ocean
2900126_01/01/2012,1840.3,0.062,1027.833008,34.666,2900126_01/01/2012,-64.338,52.07,2012-01-01,Indian Ocean
5900897_01/01/2012,1549.2,2.455,1027.718994,34.731,5900897_01/01/2012,-47.384,26.806,2012-01-01,Indian Ocean
3900802_01/01/2012,1100.0,2.684,1027.555054,34.551,3900802_01/01/2012,-46.091,63.472,2012-01-01,Indian Ocean
2901089_01/01/2012,239.0,15.968,1026.090942,35.435,2901089_01/01/2012,-12.093,46.921,2012-01-01,Indian Ocean
1901199_01/01/2012,1888.0,2.111,1027.760986,34.748,1901199_01/01/2012,-50.204,123.829,2012-01-01,Indian Ocean
2901082_01/01/2012,329.5,11.188,1026.785034,35.055,2901082_01/01/2012,0.489,72.128,2012-01-01,Equatorial Region
6900730_01/01/2012,5.1,15.801,1026.125,35.43,6900730_01/01/2012,-40.041,65.117,2012-01-01,Indian Ocean
2901080_01/01/2012,799.5,7.942,1027.290039,35.009,2901080_01/01/2012,0.138,82.131,2012-01-01,Equatorial Region
2901286_01/01/2012,1400.3,4.764,1027.592041,34.861,2901286_01/01/2012,9.187,88.221,2012-01-01,Bay of Bengal
2901132_01/01/2012,1199.3,7.02,1027.581055,35.209,2901132_01/01/2012,17.869,66.803,2012-01-01,Arabian Sea
2901312_01/01/2012,147.0,17.342,1025.557983,35.163,2901312_01/01/2012,0.623,86.573,2012-01-01,Equatorial Region
5903649_01/01/2012,14.0,12.944,1026.098999,34.605,5903649_01/01/2012,-44.804,136.122,2012-01-01,Indian Ocean
2901323_01/01/2012,8.5,28.87,1021.703003,34.458,2901323_01/01/2012,-0.922,86.504,2012-01-01,Equatorial Region
2900939_01/01/2012,479.2,9.84,1027.010986,35.04,2900939_01/01/2012,1.878,93.855,2012-01-01,Equatorial Region
2901079_01/01/2012,419.5,10.154,1026.874023,34.934,2901079_01/01/2012,-3.395,76.189,2012-01-01,Equatorial Region
2901076_01/01/2012,2002.1,2.76,1027.737061,34.787,2901076_01/01/2012,2.711,69.739,2012-01-01,Equatorial Region
1901319_01/01/2012,158.0,19.191,1025.375977,35.527,1901319_01/01/2012,-23.859,53.155,2012-01-01,Indian Ocean
5903924_01/01/2012,1200.3,3.178,1027.506958,34.547,5903924_01/01/2012,-31.954,107.391,2012-01-01,Indian Ocean
6900748_01/01/2012,1250.2,2.278,1027.712036,34.704,6900748_01/01/2012,-48.936,36.467,2012-01-01,Indian Ocean
1900920_01/01/2012,0.0,16.311,1025.857056,35.234,1900920_01/01/2012,-38.575,83.253,2012-01-01,Indian Ocean
5901242_01/01/2012,27.0,20.136,1025.139038,35.54,5901242_01/01/2012,-35.356,113.001,2012-01-01,Indian Ocean
6900854_01/01/2012,20.6,2.142,1027.088013,33.911,6900854_01/01/2012,-53.623,29.611,2012-01-01,Indian Ocean
1901135_01/01/2012,577.9,2.156,1027.667969,34.637,1901135_01/01/2012,-60.866,127.181,2012-01-01,Indian Ocean
5903671_01/01/2012,772.0,2.371,1027.599976,34.574,5903671_01/01/2012,-54.242,117.274,2012-01-01,Indian Ocean
1901063_01/01/2012,648.9,10.323,1026.765015,34.831,1901063_01/01/2012,-28.08,66.365,2012-01-01,Indian Ocean
3900756_01/01/2012,470.0,4.382,1027.120972,34.214,3900756_01/01/2012,-47.181,35.899,2012-01-01,Indian Ocean
3900753_01/01/2012,1870.0,2.598,1027.722046,34.751,3900753_01/01/2012,-43.185,28.815,2012-01-01,Indian Ocean
1900723_02/01/2012,540.0,9.112,1026.823975,34.647,1900723_02/01/2012,-40.691,90.124,2012-01-02,Indian Ocean
5903936_02/01/2012,650.0,8.531,1026.858032,34.573,5903936_02/01/2012,-32.016,109.784,2012-01-02,Indian Ocean
1901190_02/01/2012,296.0,6.303,1026.988037,34.334,1901190_02/01/2012,-46.261,36.367,2012-01-02,Indian Ocean
1901329_02/01/2012,272.0,1.903,1027.23999,34.078,1901329_02/01/2012,-49.121,74.24,2012-01-02,Indian Ocean
1901202_02/01/2012,2026.0,3.212,1027.744019,34.848,1901202_02/01/2012,18.975,58.387,2012-01-02,Indian Ocean
2900116_02/01/2012,880.0,0.563,1027.807007,34.669,2900116_02/01/2012,-65.84,59.015,2012-01-02,Indian Ocean
2901329_02/01/2012,524.0,9.504,1027.05603,35.026,2901329_02/01/2012,12.082,86.027,2012-01-02,Bay of Bengal
5903675_02/01/2012,1916.0,1.155,1027.81604,34.727,5903675_02/01/2012,-61.197,135.31,2012-01-02,Indian Ocean
5903589_02/01/2012,1947.9,2.88,1027.722046,34.782,5903589_02/01/2012,14.879,87.082,2012-01-02,Bay of Bengal
2901326_02/01/2012,120.0,18.754,1025.267944,35.239,2901326_02/01/2012,1.731,82.942,2012-01-02,Equatorial Region
2900755_02/01/2012,479.4,9.855,1026.994019,35.022,2900755_02/01/2012,16.15,90.218,2012-01-02,Bay of Bengal
2901306_02/01/2012,1800.0,0.69,1027.833008,34.711,2901306_02/01/2012,-63.188,70.904,2012-01-02,Indian Ocean
2901328_02/01/2012,4.4,27.464,1021.840027,34.029,2901328_02/01/2012,10.067,83.479,2012-01-02,Bay of Bengal
2901294_02/01/2012,1238.0,5.701,1027.509033,34.897,2901294_02/01/2012,1.211,89.228,2012-01-02,Equatorial Region
2901296_02/01/2012,115.0,18.687,1025.287964,35.244,2901296_02/01/2012,0.436,83.977,2012-01-02,Equatorial Region
2901152_02/01/2012,140.3,16.544,1025.81897,35.255,2901152_02/01/2012,-2.409,67.578,2012-01-02,Equatorial Region
2901301_02/01/2012,1299.5,2.177,1027.744019,34.733,2901301_02/01/2012,-48.894,73.75,2012-01-02,Indian Ocean
1901441_02/01/2012,243.9,12.802,1026.521973,35.114,1901441_02/01/2012,1.424,74.848,2012-01-02,Equatorial Region
1901434_02/01/2012,1056.0,3.088,1027.38501,34.384,1901434_02/01/2012,-46.407,117.592,2012-01-02,Indian Ocean
5903908_02/01/2012,494.0,9.389,1026.937988,34.85,5903908_02/01/2012,-6.488,97.361,2012-01-02,Equatorial Region
1901431_02/01/2012,1776.0,3.044,1027.571045,34.612,1901431_02/01/2012,-32.315,42.306,2012-01-02,Indian Ocean
1901509_02/01/2012,122.7,12.714,1026.512939,35.081,1901509_02/01/2012,-7.396,52.944,2012-01-02,Equatorial Region
1901389_02/01/2012,230.1,16.373,1025.756958,35.123,1901389_02/01/2012,-28.298,84.638,2012-01-02,Indian Ocean
1901399_02/01/2012,651.2,4.105,1027.212036,34.292,1901399_02/01/2012,-52.345,133.188,2012-01-02,Indian Ocean
5902288_02/01/2012,738.0,2.125,1027.687988,34.658,5902288_02/01/2012,-52.842,49.787,2012-01-02,Indian Ocean
1901416_02/01/2012,1422.0,3.514,1027.514038,34.596,1901416_02/01/2012,-25.02,69.53,2012-01-02,Indian Ocean
5903319_02/01/2012,261.0,9.602,1026.762939,34.672,5903319_02/01/2012,-40.48,120.604,2012-01-02,Indian Ocean
5903320_02/01/2012,1836.0,2.512,1027.639038,34.638,5903320_02/01/2012,-45.7,129.705,2012-01-02,Indian Ocean
5903681_02/01/2012,150.3,19.123,1025.58606,35.779,5903681_02/01/2012,-27.794,85.295,2012-01-02,Indian Ocean
1900974_02/01/2012,4.7,6.21,1026.593994,33.82,1900974_02/01/2012,-49.188,26.794,2012-01-02,Indian Ocean
4901015_02/01/2012,85.0,5.311,1026.77002,33.903,4901015_02/01/2012,-49.222,99.888,2012-01-02,Indian Ocean
2901336_02/01/2012,1190.0,5.95,1027.484985,34.906,2901336_02/01/2012,17.255,88.564,2012-01-02,Bay of Bengal
5901372_02/01/2012,90.1,21.339,1024.258057,34.81,5901372_02/01/2012,9.948,85.877,2012-01-02,Bay of Bengal
6900927_02/01/2012,2012.0,1.683,1027.786987,34.739,6900927_02/01/2012,-49.637,73.902,2012-01-02,Indian Ocean
2901374_02/01/2012,98.6,22.33,1025.036987,36.198,2901374_02/01/2012,22.843,63.457,2012-01-02,Arabian Sea
4901016_02/01/2012,1870.0,2.712,1027.60498,34.617,4901016_02/01/2012,-38.486,63.14,2012-01-02,Indian Ocean
2901375_02/01/2012,70.6,26.121,1024.123047,36.491,2901375_02/01/2012,18.675,65.529,2012-01-02,Arabian Sea
5900698_02/01/2012,118.9,10.741,1026.719971,34.868,5900698_02/01/2012,-44.475,98.357,2012-01-02,Indian Ocean
5900044_02/01/2012,39.2,25.311,1018.666016,28.924,5900044_02/01/2012,-20.128,105.037,2012-01-02,Indian Ocean
1901121_02/01/2012,4.5,25.743,1023.416992,35.4,1901121_02/01/2012,-22.55,63.939,2012-01-02,Indian Ocean
1901127_02/01/2012,109.2,20.931,1025.008057,35.649,1901127_02/01/2012,-24.175,68.195,2012-01-02,Indian Ocean
1901126_02/01/2012,1399.5,3.684,1027.391968,34.464,1901126_02/01/2012,-31.583,61.448,2012-01-02,Indian Ocean
6900921_02/01/2012,463.0,2.647,1027.333984,34.271,6900921_02/01/2012,-49.913,76.678,2012-01-02,Indian Ocean
1901165_02/01/2012,260.0,12.554,1026.532959,35.065,1901165_02/01/2012,-13.146,54.572,2012-01-02,Indian Ocean
6900902_02/01/2012,1988.0,3.208,1027.75,34.855,6900902_02/01/2012,24.244,64.27,2012-01-02,Arabian Sea
1901116_02/01/2012,10.2,20.223,1025.116943,35.542,1901116_02/01/2012,-36.608,35.359,2012-01-02,Indian Ocean
2901671_02/01/2012,255.6,11.73,1026.642944,35.002,2901671_02/01/2012,-4.452,81.178,2012-01-02,Equatorial Region
2901372_02/01/2012,60.5,24.701,1024.583008,36.52,2901372_02/01/2012,21.356,62.466,2012-01-02,Arabian Sea
5901496_02/01/2012,1350.0,1.5,1027.800049,34.738,5901496_02/01/2012,-56.171,84.772,2012-01-02,Indian Ocean
5900856_02/01/2012,1199.1,4.14,1027.484009,34.639,5900856_02/01/2012,-23.549,110.719,2012-01-02,Indian Ocean
1901060_02/01/2012,359.3,12.176,1026.626953,35.091,1901060_02/01/2012,-25.545,82.591,2012-01-02,Indian Ocean
1900973_02/01/2012,1274.3,2.062,1027.76001,34.742,1900973_02/01/2012,-51.996,52.41,2012-01-02,Indian Ocean
1901065_02/01/2012,99.2,11.976,1026.635986,35.054,1901065_02/01/2012,-38.3,90.398,2012-01-02,Indian Ocean
4900485_02/01/2012,1349.4,3.506,1027.36499,34.408,4900485_02/01/2012,-38.042,87.662,2012-01-02,Indian Ocean
1900804_02/01/2012,1776.0,1.474,1027.800049,34.736,1900804_02/01/2012,-58.955,125.672,2012-01-02,Indian Ocean
7900235_02/01/2012,1499.4,0.511,1027.81604,34.676,7900235_02/01/2012,-52.61,23.104,2012-01-02,Indian Ocean
5901622_02/01/2012,1248.9,3.556,1027.44104,34.51,5901622_02/01/2012,-30.895,102.926,2012-01-02,Indian Ocean
5901191_02/01/2012,379.4,11.077,1026.708984,34.932,5901191_02/01/2012,-17.949,113.474,2012-01-02,Indian Ocean
1901010_02/01/2012,64.0,-1.812,0.0,34.404,1901010_02/01/2012,-64.931,123.52,2012-01-02,Indian Ocean
5901187_02/01/2012,1999.1,2.564,1027.647949,34.654,5901187_02/01/2012,-45.576,127.75,2012-01-02,Indian Ocean
5901249_02/01/2012,1422.0,3.42,1027.447021,34.5,5901249_02/01/2012,-32.22,72.676,2012-01-02,Indian Ocean
1901130_02/01/2012,1949.5,2.598,1027.614014,34.616,1901130_02/01/2012,-48.158,133.073,2012-01-02,Indian Ocean
2901513_02/01/2012,15.3,28.001,1023.146973,35.997,2901513_02/01/2012,9.899,67.337,2012-01-02,Equatorial Region
6900749_02/01/2012,120.4,2.223,1027.067017,33.892,6900749_02/01/2012,-52.967,37.126,2012-01-02,Indian Ocean
2901514_02/01/2012,949.9,7.847,1027.379028,35.104,2901514_02/01/2012,9.286,68.918,2012-01-02,Equatorial Region
2901507_02/01/2012,239.9,15.085,1026.474976,35.676,2901507_02/01/2012,11.893,48.258,2012-01-02,Indian Ocean
1901129_02/01/2012,500.4,10.542,1026.718994,34.822,1901129_02/01/2012,-41.079,76.989,2012-01-02,Indian Ocean
2901508_02/01/2012,200.4,17.25,1025.958008,35.655,2901508_02/01/2012,14.438,49.601,2012-01-02,Indian Ocean
6900855_02/01/2012,6.3,4.602,1026.764038,33.795,6900855_02/01/2012,-48.763,24.997,2012-01-02,Indian Ocean
7900319_03/01/2012,882.0,0.525,1027.821045,34.684,7900319_03/01/2012,-64.522,94.373,2012-01-03,Indian Ocean
