ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
4900478_01/01/2010,1534.0,1.257,1027.801025,34.718,4900478_01/01/2010,-60.684,111.747,2010-01-01,Indian Ocean
2900118_01/01/2010,482.0,-0.193,0.0,34.558,2900118_01/01/2010,-66.7,74.193,2010-01-01,Indian Ocean
4900486_01/01/2010,1500.0,3.032,1027.489014,34.507,4900486_01/01/2010,-38.412,108.525,2010-01-01,Indian Ocean
2900761_01/01/2010,439.4,9.149,1026.880981,34.727,2900761_01/01/2010,-12.432,62.211,2010-01-01,Indian Ocean
1900850_01/01/2010,4.0,6.606,1026.442017,33.693,1900850_01/01/2010,-45.78,54.413,2010-01-01,Indian Ocean
5900415_01/01/2010,998.2,4.784,1027.359009,34.57,5900415_01/01/2010,-21.628,98.336,2010-01-01,Indian Ocean
5900925_01/01/2010,948.7,6.562,1027.33606,34.819,5900925_01/01/2010,-9.241,51.77,2010-01-01,Equatorial Region
5901480_01/01/2010,139.2,14.882,1026.328979,35.428,5901480_01/01/2010,-38.653,59.406,2010-01-01,Indian Ocean
2900762_01/01/2010,19.3,28.437,1022.179016,34.901,2900762_01/01/2010,-3.321,78.971,2010-01-01,Equatorial Region
2900117_01/01/2010,52.0,-1.788,0.0,34.301,2900117_01/01/2010,-63.294,99.841,2010-01-01,Indian Ocean
2901080_01/01/2010,4.7,28.278,1022.401978,35.128,2901080_01/01/2010,-2.615,71.113,2010-01-01,Equatorial Region
2901079_01/01/2010,999.1,6.856,1027.415039,34.969,2901079_01/01/2010,-2.541,68.796,2010-01-01,Equatorial Region
5901498_01/01/2010,1550.5,2.037,1027.779053,34.763,5901498_01/01/2010,-52.133,36.397,2010-01-01,Indian Ocean
5901259_01/01/2010,756.0,7.832,1026.920044,34.518,5901259_01/01/2010,-32.583,98.702,2010-01-01,Indian Ocean
5900924_01/01/2010,39.7,26.257,1023.18103,35.3,5900924_01/01/2010,-5.529,75.745,2010-01-01,Equatorial Region
