ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
5900165_11/08/2002,924.8,6.394,1027.339966,34.796,5900165_11/08/2002,-4.931,90.149,2002-08-11,Equatorial Region
1900101_01/01/2003,14.3,3.874,1026.884033,33.85,1900101_01/01/2003,-48.945,54.541,2003-01-01,Indian Ocean
1900144_01/01/2003,599.3,8.507,1027.072998,34.843,1900144_01/01/2003,-6.316,80.424,2003-01-01,Equatorial Region
5900145_01/01/2003,2020.0,2.65,1027.708984,34.74,5900145_01/01/2003,-5.817,97.471,2003-01-01,Equatorial Region
1900143_01/01/2003,179.0,13.365,1026.046021,34.647,1900143_01/01/2003,-8.019,71.678,2003-01-01,Equatorial Region
1900121_01/01/2003,14.0,28.826,1022.203979,35.106,1900121_01/01/2003,-9.713,55.322,2003-01-01,Equatorial Region
1900103_01/01/2003,0.0,0.0,999.843018,0.0,1900103_01/01/2003,-54.416,52.77,2003-01-01,Indian Ocean
1900102_01/01/2003,59.1,3.913,1026.871948,33.839,1900102_01/01/2003,-49.751,48.368,2003-01-01,Indian Ocean
2900233_01/01/2003,23.0,28.57,1022.174011,34.953,2900233_01/01/2003,-0.101,83.737,2003-01-01,Equatorial Region
53548_01/01/2003,1197.8,4.153,1029.505005,37.181,53548_01/01/2003,-15.336,113.75,2003-01-01,Indian Ocean
5900033_01/01/2003,259.1,11.566,1026.583984,34.887,5900033_01/01/2003,-7.307,103.491,2003-01-01,Equatorial Region
2900168_02/01/2003,199.3,14.013,1026.411987,35.293,2900168_02/01/2003,8.573,64.732,2003-01-02,Equatorial Region
1900105_02/01/2003,24.1,-0.059,0.0,33.822,1900105_02/01/2003,-58.327,31.006,2003-01-02,Indian Ocean
5900184_02/01/2003,1899.1,2.651,1027.624023,34.634,5900184_02/01/2003,-35.641,100.937,2003-01-02,Indian Ocean
1900104_02/01/2003,138.9,0.3,1027.380981,34.121,1900104_02/01/2003,-55.439,49.049,2003-01-02,Indian Ocean
2900161_02/01/2003,923.9,9.386,1027.411987,35.456,2900161_02/01/2003,18.837,65.478,2003-01-02,Arabian Sea
2900099_02/01/2003,339.4,10.777,1026.77002,34.941,2900099_02/01/2003,-4.386,79.593,2003-01-02,Equatorial Region
2900100_02/01/2003,7.4,28.691,1022.307007,35.183,2900100_02/01/2003,-2.102,83.305,2003-01-02,Equatorial Region
2900079_02/01/2003,323.0,11.09,1026.775024,35.02,2900079_02/01/2003,0.67,82.66,2003-01-02,Equatorial Region
2900080_02/01/2003,5.6,28.466,1022.61499,35.494,2900080_02/01/2003,1.554,68.529,2003-01-02,Equatorial Region
2900159_02/01/2003,159.4,17.529,1025.865967,35.623,2900159_02/01/2003,12.501,64.294,2003-01-02,Arabian Sea
1900099_02/01/2003,49.6,18.057,1025.852051,35.774,1900099_02/01/2003,-30.761,77.139,2003-01-02,Indian Ocean
1900094_02/01/2003,99.4,15.724,1026.266968,35.592,1900094_02/01/2003,-36.194,58.513,2003-01-02,Indian Ocean
5900028_03/01/2003,119.6,18.169,1025.812988,35.759,5900028_03/01/2003,-29.329,113.341,2003-01-03,Indian Ocean
1900044_03/01/2003,289.4,2.606,1027.155029,34.042,1900044_03/01/2003,-48.597,56.266,2003-01-03,Indian Ocean
1900089_03/01/2003,1499.5,3.838,1027.547974,34.68,1900089_03/01/2003,-24.383,38.055,2003-01-03,Indian Ocean
2900094_03/01/2003,224.4,13.78,1026.234009,35.0,2900094_03/01/2003,12.62,86.29,2003-01-03,Bay of Bengal
2900101_03/01/2003,6.7,28.908,1021.771973,34.567,2900101_03/01/2003,0.98,89.302,2003-01-03,Equatorial Region
1900043_03/01/2003,209.0,2.538,1027.06604,33.924,1900043_03/01/2003,-47.377,54.362,2003-01-03,Indian Ocean
2900162_03/01/2003,8.1,25.878,1024.258057,36.569,2900162_03/01/2003,17.372,61.864,2003-01-03,Arabian Sea
2900085_03/01/2003,822.3,9.6,1027.39502,35.48,2900085_03/01/2003,12.42,56.53,2003-01-03,Indian Ocean
1900149_03/01/2003,339.2,7.3,1026.891968,34.384,1900149_03/01/2003,-44.164,80.906,2003-01-03,Indian Ocean
1900146_03/01/2003,249.0,10.584,1026.665039,34.762,1900146_03/01/2003,-44.683,77.377,2003-01-03,Indian Ocean
2900088_03/01/2003,223.4,16.85,1026.141968,35.77,2900088_03/01/2003,15.81,59.22,2003-01-03,Indian Ocean
2900167_03/01/2003,899.1,8.28,1027.344971,35.144,2900167_03/01/2003,5.521,63.013,2003-01-03,Equatorial Region
5900234_03/01/2003,399.3,10.359,1026.890015,35.0,5900234_03/01/2003,1.84,91.903,2003-01-03,Equatorial Region
3900072_03/01/2003,14.5,0.003,1027.027954,33.664,3900072_03/01/2003,-57.41,22.189,2003-01-03,Indian Ocean
1900046_03/01/2003,899.3,2.451,1027.587036,34.566,1900046_03/01/2003,-49.852,62.223,2003-01-03,Indian Ocean
2900163_03/01/2003,59.2,26.767,1024.182983,36.842,2900163_03/01/2003,16.609,66.656,2003-01-03,Arabian Sea
1900153_04/01/2003,449.1,9.541,1026.796021,34.701,1900153_04/01/2003,-43.885,76.571,2003-01-04,Indian Ocean
1900147_04/01/2003,249.4,11.169,1026.656006,34.886,1900147_04/01/2003,-44.786,76.572,2003-01-04,Indian Ocean
2900232_04/01/2003,54.7,28.344,1022.69397,35.546,2900232_04/01/2003,1.534,85.6,2003-01-04,Equatorial Region
1900100_04/01/2003,9.4,22.067,1024.614014,35.544,1900100_04/01/2003,-29.687,84.375,2003-01-04,Indian Ocean
2900229_04/01/2003,1699.4,3.581,1027.660034,34.787,2900229_04/01/2003,-1.875,70.068,2003-01-04,Equatorial Region
1900045_04/01/2003,799.4,2.381,1027.55896,34.524,1900045_04/01/2003,-49.985,64.438,2003-01-04,Indian Ocean
1900047_04/01/2003,159.4,2.212,1027.071045,33.897,1900047_04/01/2003,-51.341,65.61,2003-01-04,Indian Ocean
2900164_04/01/2003,1799.2,3.585,1027.703003,34.842,2900164_04/01/2003,7.165,61.512,2003-01-04,Equatorial Region
5900030_04/01/2003,9.3,22.858,1024.218994,35.32,5900030_04/01/2003,-25.873,105.98,2003-01-04,Indian Ocean
56508_04/01/2003,451.5,9.06,1026.906006,34.741,56508_04/01/2003,-16.532,118.679,2003-01-04,Indian Ocean
2900090_04/01/2003,48.9,26.026,1024.417969,36.842,2900090_04/01/2003,19.533,66.714,2003-01-04,Arabian Sea
2900089_04/01/2003,999.2,9.132,1027.437988,35.435,2900089_04/01/2003,22.383,64.533,2003-01-04,Arabian Sea
2900091_04/01/2003,199.5,16.339,1026.235962,35.735,2900091_04/01/2003,14.277,65.719,2003-01-04,Arabian Sea
5900185_04/01/2003,29.2,18.297,1025.671021,35.616,5900185_04/01/2003,-34.82,110.106,2003-01-04,Indian Ocean
1900150_05/01/2003,948.7,5.888,1027.089966,34.397,1900150_05/01/2003,-38.323,76.525,2003-01-05,Indian Ocean
1900151_05/01/2003,49.4,14.28,1026.260986,35.172,1900151_05/01/2003,-40.275,76.7,2003-01-05,Indian Ocean
1900152_05/01/2003,59.6,13.919,1026.313965,35.141,1900152_05/01/2003,-41.952,79.279,2003-01-05,Indian Ocean
1900086_05/01/2003,1899.0,2.787,1027.620972,34.645,1900086_05/01/2003,-32.41,47.616,2003-01-05,Indian Ocean
56501_05/01/2003,739.3,8.294,1026.89502,34.574,56501_05/01/2003,-26.351,105.147,2003-01-05,Indian Ocean
1900090_05/01/2003,1299.1,5.265,1027.279053,34.539,1900090_05/01/2003,-31.189,34.827,2003-01-05,Indian Ocean
1900148_05/01/2003,349.5,9.407,1026.802979,34.682,1900148_05/01/2003,-43.429,78.586,2003-01-05,Indian Ocean
1900048_05/01/2003,999.2,2.242,1027.689941,34.673,1900048_05/01/2003,-51.792,70.274,2003-01-05,Indian Ocean
5900029_05/01/2003,1199.3,4.479,1027.439941,34.629,5900029_05/01/2003,-23.181,105.655,2003-01-05,Indian Ocean
5900026_05/01/2003,739.3,7.238,1027.095947,34.632,5900026_05/01/2003,-9.566,118.176,2003-01-05,Equatorial Region
2900166_05/01/2003,79.6,21.981,1024.588989,35.479,2900166_05/01/2003,4.004,62.459,2003-01-05,Equatorial Region
5900198_05/01/2003,240.0,12.714,1028.594971,37.764,5900198_05/01/2003,-13.858,114.227,2003-01-05,Indian Ocean
1900049_05/01/2003,219.4,1.65,1027.223999,34.034,1900049_05/01/2003,-52.734,71.893,2003-01-05,Indian Ocean
2900230_05/01/2003,129.5,17.369,1025.510986,35.11,2900230_05/01/2003,-2.913,65.434,2003-01-05,Equatorial Region
1900085_06/01/2003,739.4,10.982,1026.725952,34.932,1900085_06/01/2003,-30.35,47.159,2003-01-06,Indian Ocean
1900123_06/01/2003,375.0,13.16,1026.572021,35.272,1900123_06/01/2003,-25.191,54.516,2003-01-06,Indian Ocean
5900186_06/01/2003,109.4,17.164,1026.05896,35.759,5900186_06/01/2003,-30.761,111.269,2003-01-06,Indian Ocean
2900233_06/01/2003,170.4,13.258,1026.44104,35.128,2900233_06/01/2003,-0.244,84.417,2003-01-06,Equatorial Region
2900165_06/01/2003,139.5,16.981,1025.739014,35.285,2900165_06/01/2003,0.106,63.162,2003-01-06,Equatorial Region
5900027_06/01/2003,619.0,7.922,1027.072021,34.728,5900027_06/01/2003,-10.362,110.371,2003-01-06,Indian Ocean
5900031_06/01/2003,279.3,18.475,1025.797974,35.84,5900031_06/01/2003,-19.688,101.829,2003-01-06,Indian Ocean
5900143_06/01/2003,416.5,9.854,1026.884033,34.881,5900143_06/01/2003,-4.976,89.548,2003-01-06,Equatorial Region
5900144_06/01/2003,1503.0,4.097,1027.609985,34.791,5900144_06/01/2003,-4.435,94.193,2003-01-06,Equatorial Region
1900124_07/01/2003,375.0,14.082,1026.464966,35.381,1900124_07/01/2003,-28.043,54.381,2003-01-07,Indian Ocean
5900235_07/01/2003,269.2,12.253,1026.661987,35.156,5900235_07/01/2003,-37.811,81.96,2003-01-07,Indian Ocean
2900235_07/01/2003,69.9,23.63,1024.074951,35.426,2900235_07/01/2003,-2.903,62.726,2003-01-07,Equatorial Region
5900037_07/01/2003,1499.1,3.378,1027.588989,34.673,5900037_07/01/2003,-12.126,119.962,2003-01-07,Indian Ocean
1900097_07/01/2003,8.3,20.013,1025.214966,35.597,1900097_07/01/2003,-34.442,69.141,2003-01-07,Indian Ocean
1900051_07/01/2003,999.4,5.597,1027.286011,34.599,1900051_07/01/2003,-20.609,54.06,2003-01-07,Indian Ocean
2900080_07/01/2003,109.2,19.003,1025.218018,35.257,2900080_07/01/2003,1.343,68.634,2003-01-07,Equatorial Region
1900125_07/01/2003,1912.0,2.608,1027.654053,34.667,1900125_07/01/2003,-28.022,54.344,2003-01-07,Indian Ocean
5900036_07/01/2003,29.6,30.172,1021.19397,34.365,5900036_07/01/2003,-12.893,118.311,2003-01-07,Indian Ocean
2900079_07/01/2003,398.6,10.84,1026.821045,35.02,2900079_07/01/2003,0.68,83.14,2003-01-07,Equatorial Region
1900102_08/01/2003,109.5,3.243,1026.935059,33.838,1900102_08/01/2003,-50.304,48.032,2003-01-08,Indian Ocean
5900229_08/01/2003,420.3,9.784,1026.916016,34.907,5900229_08/01/2003,-3.255,88.519,2003-01-08,Equatorial Region
1900103_08/01/2003,79.2,2.046,1027.192993,34.033,1900103_08/01/2003,-55.067,53.255,2003-01-08,Indian Ocean
5900187_08/01/2003,259.1,13.478,1026.542969,35.318,5900187_08/01/2003,-33.148,110.224,2003-01-08,Indian Ocean
1900083_08/01/2003,1499.2,3.517,1027.515991,34.599,1900083_08/01/2003,-32.501,33.653,2003-01-08,Indian Ocean
56509_08/01/2003,29.2,24.201,1023.843994,35.344,56509_08/01/2003,-21.701,109.677,2003-01-08,Indian Ocean
5900237_08/01/2003,7.6,17.557,1025.452026,35.092,5900237_08/01/2003,-36.692,85.918,2003-01-08,Indian Ocean
1900127_08/01/2003,1612.0,3.168,1027.432007,34.452,1900127_08/01/2003,-35.079,53.514,2003-01-08,Indian Ocean
5900165_08/01/2003,160.2,13.125,1026.313965,34.93,5900165_08/01/2003,-4.677,89.388,2003-01-08,Equatorial Region
5900178_08/01/2003,89.3,14.434,1026.488037,35.508,5900178_08/01/2003,-33.259,92.613,2003-01-08,Indian Ocean
1900101_08/01/2003,8.0,4.218,1026.843018,33.842,1900101_08/01/2003,-49.258,55.425,2003-01-08,Indian Ocean
1900050_08/01/2003,19.3,27.709,1022.471985,34.974,1900050_08/01/2003,-20.858,57.134,2003-01-08,Indian Ocean
5900238_08/01/2003,219.2,12.278,1026.661987,35.162,5900238_08/01/2003,-35.626,81.493,2003-01-08,Indian Ocean
1900052_08/01/2003,998.7,5.377,1027.344971,34.639,1900052_08/01/2003,-18.267,58.661,2003-01-08,Indian Ocean
5900034_08/01/2003,279.2,11.887,1026.345947,34.659,5900034_08/01/2003,-12.915,109.844,2003-01-08,Indian Ocean
2900088_08/01/2003,448.1,12.77,1026.998047,35.72,2900088_08/01/2003,15.69,59.35,2003-01-08,Indian Ocean
2900085_08/01/2003,8.0,26.09,1023.913025,36.2,2900085_08/01/2003,12.79,56.09,2003-01-08,Indian Ocean
2900094_08/01/2003,4.0,27.15,1021.835999,33.89,2900094_08/01/2003,12.81,86.35,2003-01-08,Bay of Bengal
1900053_09/01/2003,449.0,12.088,1026.666016,35.12,1900053_09/01/2003,-16.674,63.669,2003-01-09,Indian Ocean
1900104_09/01/2003,129.3,0.431,1027.302002,34.033,1900104_09/01/2003,-55.609,49.029,2003-01-09,Indian Ocean
2900226_09/01/2003,84.1,22.136,1024.16394,34.978,2900226_09/01/2003,9.27,84.734,2003-01-09,Bay of Bengal
1900054_09/01/2003,399.5,10.198,1026.791016,34.837,1900054_09/01/2003,-14.772,67.16,2003-01-09,Indian Ocean
1900129_09/01/2003,1113.0,5.548,1027.130005,34.394,1900129_09/01/2003,-38.129,53.094,2003-01-09,Indian Ocean
1900128_09/01/2003,762.0,10.024,1026.728027,34.718,1900128_09/01/2003,-38.202,52.962,2003-01-09,Indian Ocean
1900092_09/01/2003,1799.1,2.724,1027.612061,34.627,1900092_09/01/2003,-32.922,51.002,2003-01-09,Indian Ocean
1900122_09/01/2003,59.7,26.268,1023.27301,35.426,1900122_09/01/2003,-6.434,78.516,2003-01-09,Equatorial Region
1900105_09/01/2003,1799.1,0.507,1027.822998,34.684,1900105_09/01/2003,-56.917,32.906,2003-01-09,Indian Ocean
2900091_09/01/2003,999.2,8.25,1027.479004,35.309,2900091_09/01/2003,14.39,65.758,2003-01-09,Arabian Sea
2900089_09/01/2003,99.5,24.91,1024.426025,36.396,2900089_09/01/2003,22.204,64.51,2003-01-09,Arabian Sea
2900090_09/01/2003,6.9,25.584,1024.515015,36.788,2900090_09/01/2003,19.554,66.717,2003-01-09,Arabian Sea
5900239_09/01/2003,139.3,12.024,1026.667969,35.107,5900239_09/01/2003,-37.711,91.253,2003-01-09,Indian Ocean
5900182_09/01/2003,179.5,13.59,1026.605957,35.43,5900182_09/01/2003,-32.464,99.62,2003-01-09,Indian Ocean
5900180_09/01/2003,1998.9,2.592,1027.656006,34.667,5900180_09/01/2003,-35.578,93.519,2003-01-09,Indian Ocean
5900179_09/01/2003,1999.1,2.549,1027.666992,34.677,5900179_09/01/2003,-34.466,94.507,2003-01-09,Indian Ocean
7900022_09/01/2003,0.0,0.0,999.843018,0.0,7900022_09/01/2003,-62.02,23.024,2003-01-09,Indian Ocean
5900236_09/01/2003,158.8,12.237,1026.677002,35.171,5900236_09/01/2003,-36.284,87.205,2003-01-09,Indian Ocean
5900032_09/01/2003,9.5,29.067,1021.765015,34.628,5900032_09/01/2003,-9.992,102.881,2003-01-09,Equatorial Region
56510_09/01/2003,2294.6,2.213,1027.739014,34.731,56510_09/01/2003,-15.303,109.483,2003-01-09,Indian Ocean
1900130_10/01/2003,415.0,5.795,1027.001953,34.27,1900130_10/01/2003,-42.414,53.198,2003-01-10,Indian Ocean
5900167_10/01/2003,1200.5,4.796,1027.485962,34.732,5900167_10/01/2003,-7.804,96.721,2003-01-10,Equatorial Region
2900232_10/01/2003,299.6,12.159,1026.626953,35.088,2900232_10/01/2003,1.921,85.6,2003-01-10,Equatorial Region
5900035_10/01/2003,44.5,26.221,1022.669983,34.607,5900035_10/01/2003,-16.105,113.185,2003-01-10,Indian Ocean
53548_10/01/2003,1870.9,2.537,1029.828003,37.376,53548_10/01/2003,-15.296,113.978,2003-01-10,Indian Ocean
3900072_10/01/2003,1299.6,0.14,1027.828979,34.666,3900072_10/01/2003,-57.481,22.13,2003-01-10,Indian Ocean
53547_10/01/2003,998.2,5.522,1027.364014,34.685,53547_10/01/2003,-7.956,102.274,2003-01-10,Equatorial Region
2900194_10/01/2003,239.2,13.73,1026.547974,35.392,2900194_10/01/2003,11.707,57.072,2003-01-10,Indian Ocean
1900056_10/01/2003,329.0,11.893,1026.588989,34.973,1900056_10/01/2003,-11.579,72.547,2003-01-10,Indian Ocean
5900241_10/01/2003,999.2,5.463,1027.130981,34.382,5900241_10/01/2003,-35.778,96.848,2003-01-10,Indian Ocean
5900240_10/01/2003,999.4,6.459,1027.041016,34.427,5900240_10/01/2003,-37.61,93.54,2003-01-10,Indian Ocean
1900055_10/01/2003,6.5,27.969,1022.116028,34.613,1900055_10/01/2003,-11.636,70.301,2003-01-10,Indian Ocean
1900121_11/01/2003,1399.1,4.127,1027.57605,34.752,1900121_11/01/2003,-9.741,55.198,2003-01-11,Equatorial Region
5900033_11/01/2003,7.9,29.263,1020.848022,33.493,5900033_11/01/2003,-7.055,103.706,2003-01-11,Equatorial Region
1900042_11/01/2003,1998.8,1.992,1027.782959,34.764,1900042_11/01/2003,-45.637,51.507,2003-01-11,Indian Ocean
1900143_11/01/2003,289.1,11.489,1026.579956,34.864,1900143_11/01/2003,-8.111,71.017,2003-01-11,Equatorial Region
5900145_11/01/2003,603.0,8.4,1027.072021,34.82,5900145_11/01/2003,-5.593,97.722,2003-01-11,Equatorial Region
2900228_11/01/2003,899.4,7.364,1027.349976,34.978,2900228_11/01/2003,0.665,76.62,2003-01-11,Equatorial Region
2900168_11/01/2003,539.5,10.975,1027.036987,35.329,2900168_11/01/2003,8.612,64.778,2003-01-11,Equatorial Region
2900233_11/01/2003,130.3,15.131,1026.06604,35.159,2900233_11/01/2003,-0.191,84.79,2003-01-11,Equatorial Region
1900099_12/01/2003,749.3,9.899,1026.793945,34.775,1900099_12/01/2003,-30.798,77.177,2003-01-12,Indian Ocean
2900159_12/01/2003,1999.1,3.169,1027.741943,34.84,2900159_12/01/2003,12.559,64.286,2003-01-12,Arabian Sea
2900099_12/01/2003,39.1,28.761,1021.952026,34.742,2900099_12/01/2003,-4.563,79.109,2003-01-12,Equatorial Region
2900161_12/01/2003,1199.5,7.427,1027.551025,35.244,2900161_12/01/2003,18.709,65.519,2003-01-12,Arabian Sea
1900094_12/01/2003,9.5,19.315,1025.396973,35.596,1900094_12/01/2003,-36.683,58.686,2003-01-12,Indian Ocean
2900162_12/01/2003,459.1,13.046,1026.968994,35.754,2900162_12/01/2003,17.393,61.696,2003-01-12,Arabian Sea
1900144_12/01/2003,39.4,27.941,1021.877991,34.285,1900144_12/01/2003,-5.922,80.533,2003-01-12,Equatorial Region
5900184_12/01/2003,1999.0,2.556,1027.649048,34.655,5900184_12/01/2003,-35.587,101.116,2003-01-12,Indian Ocean
2900080_12/01/2003,119.4,17.443,1025.546997,35.18,2900080_12/01/2003,1.475,68.83,2003-01-12,Equatorial Region
2900079_12/01/2003,547.7,9.5,1027.052002,35.02,2900079_12/01/2003,0.86,83.66,2003-01-12,Equatorial Region
2900167_13/01/2003,1699.5,3.834,1027.685059,34.851,2900167_13/01/2003,5.527,62.83,2003-01-13,Equatorial Region
2900094_13/01/2003,448.1,10.41,1026.905029,35.03,2900094_13/01/2003,13.01,86.43,2003-01-13,Bay of Bengal
2900101_13/01/2003,399.4,10.388,1026.905029,35.025,2900101_13/01/2003,0.793,88.783,2003-01-13,Equatorial Region
2900100_13/01/2003,449.2,9.691,1026.958984,34.941,2900100_13/01/2003,-1.985,83.185,2003-01-13,Equatorial Region
5900028_13/01/2003,2003.1,2.404,1027.703979,34.707,5900028_13/01/2003,-29.101,113.203,2003-01-13,Indian Ocean
1900089_13/01/2003,29.0,27.223,1022.997986,35.464,1900089_13/01/2003,-23.985,38.262,2003-01-13,Indian Ocean
