ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
2902064_01/01/2017,404.0,14.339,1026.946045,36.075,2902064_01/01/2017,22.932,61.483,2017-01-01,Arabian Sea
5904792_01/01/2017,82.0,13.57,1026.416016,35.179,5904792_01/01/2017,-42.004,74.179,2017-01-01,Indian Ocean
2902167_01/01/2017,420.0,1.336,1027.795044,34.717,2902167_01/01/2017,-65.165,62.7,2017-01-01,Indian Ocean
5905009_01/01/2017,16.0,28.949,1021.30603,33.965,5905009_01/01/2017,-10.478,102.024,2017-01-01,Indian Ocean
5905008_01/01/2017,1998.3,2.482,1027.719971,34.736,5905008_01/01/2017,-9.33,105.719,2017-01-01,Equatorial Region
5901485_01/01/2017,1999.7,2.476,1027.687988,34.695,5901485_01/01/2017,-36.536,99.429,2017-01-01,Indian Ocean
6901730_01/01/2017,25.0,28.826,1020.252991,32.506,6901730_01/01/2017,18.216,91.423,2017-01-01,Bay of Bengal
6901643_01/01/2017,1958.0,1.812,1027.795044,34.761,6901643_01/01/2017,-49.575,54.703,2017-01-01,Indian Ocean
3901014_01/01/2017,45.0,13.772,1026.21106,34.968,3901014_01/01/2017,-39.544,91.738,2017-01-01,Indian Ocean
3900654_01/01/2017,256.4,16.529,1026.032959,35.529,3900654_01/01/2017,-34.446,29.651,2017-01-01,Indian Ocean
5901308_01/01/2017,849.3,7.958,1026.947021,34.576,5901308_01/01/2017,-28.619,69.181,2017-01-01,Indian Ocean
5900896_01/01/2017,348.9,11.221,1026.694946,34.948,5900896_01/01/2017,-38.914,87.049,2017-01-01,Indian Ocean
2901638_01/01/2017,400.0,14.289,1026.916016,36.021,2901638_01/01/2017,18.684,62.251,2017-01-01,Arabian Sea
3901016_01/01/2017,1866.0,2.05,1027.760986,34.742,3901016_01/01/2017,-53.713,119.845,2017-01-01,Indian Ocean
6902623_01/01/2017,1788.0,3.139,1027.687012,34.768,6902623_01/01/2017,-5.342,51.908,2017-01-01,Equatorial Region
5905010_01/01/2017,52.0,26.44,1022.377014,34.309,5905010_01/01/2017,-15.727,106.348,2017-01-01,Indian Ocean
6902622_01/01/2017,2013.0,2.422,1027.738037,34.751,6902622_01/01/2017,-8.308,56.08,2017-01-01,Equatorial Region
6901741_01/01/2017,388.0,10.99,1026.83606,35.074,6901741_01/01/2017,14.187,88.085,2017-01-01,Bay of Bengal
5903918_01/01/2017,475.4,10.076,1026.787964,34.806,5903918_01/01/2017,-17.235,93.571,2017-01-01,Indian Ocean
2902163_01/01/2017,79.5,19.381,1025.504028,35.758,2902163_01/01/2017,-27.114,68.807,2017-01-01,Indian Ocean
1901320_01/01/2017,439.7,12.927,1026.587036,35.231,1901320_01/01/2017,-35.811,50.133,2017-01-01,Indian Ocean
6901739_01/01/2017,20.0,28.06,1020.945984,33.096,6901739_01/01/2017,11.83,88.535,2017-01-01,Bay of Bengal
2901477_01/01/2017,4.1,25.462,1024.491943,36.708,2901477_01/01/2017,24.262,65.857,2017-01-01,Arabian Sea
6901584_01/01/2017,27.6,17.044,1025.944946,35.573,6901584_01/01/2017,-39.076,55.452,2017-01-01,Indian Ocean
5904921_01/01/2017,570.0,1.923,1027.755981,34.723,5904921_01/01/2017,-62.047,119.177,2017-01-01,Indian Ocean
2902147_01/01/2017,900.6,7.08,1027.307983,34.873,2902147_01/01/2017,-3.39,55.59,2017-01-01,Equatorial Region
