ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
1900103_01/01/2004,699.4,1.887,1027.713989,34.667,1900103_01/01/2004,-54.683,84.789,2004-01-01,Indian Ocean
2900228_01/01/2004,69.4,27.838,1022.750977,35.401,2900228_01/01/2004,1.376,80.981,2004-01-01,Equatorial Region
2900230_01/01/2004,29.6,27.813,1022.573975,35.154,2900230_01/01/2004,-1.728,69.168,2004-01-01,Equatorial Region
5900262_01/01/2004,899.1,5.303,1027.161011,34.396,5900262_01/01/2004,-30.471,112.016,2004-01-01,Indian Ocean
1900123_01/01/2004,6.0,26.775,1022.877991,35.115,1900123_01/01/2004,-26.359,55.791,2004-01-01,Indian Ocean
2900260_01/01/2004,59.3,26.748,1023.778992,36.298,2900260_01/01/2004,8.94,65.47,2004-01-01,Equatorial Region
2900259_01/01/2004,1011.8,7.706,1027.401978,35.107,2900259_01/01/2004,9.438,66.525,2004-01-01,Equatorial Region
1900226_01/01/2004,1078.7,6.864,1027.465942,35.035,1900226_01/01/2004,3.309,61.957,2004-01-01,Equatorial Region
2900165_01/01/2004,279.1,11.406,1026.723022,35.027,2900165_01/01/2004,0.24,63.346,2004-01-01,Equatorial Region
1900182_01/01/2004,299.2,12.088,1026.819946,35.318,1900182_01/01/2004,8.578,56.66,2004-01-01,Equatorial Region
5900186_01/01/2004,49.0,17.407,1026.005005,35.766,5900186_01/01/2004,-33.154,106.498,2004-01-01,Indian Ocean
1900053_01/01/2004,5.6,26.896,1022.754028,35.002,1900053_01/01/2004,-17.823,60.587,2004-01-01,Indian Ocean
5900144_01/01/2004,924.2,6.611,1027.344971,34.839,5900144_01/01/2004,-4.621,93.474,2004-01-01,Equatorial Region
1900054_01/01/2004,7.0,26.488,1022.836975,34.94,1900054_01/01/2004,-16.993,74.292,2004-01-01,Indian Ocean
5900238_01/01/2004,1999.2,2.391,1027.696045,34.696,5900238_01/01/2004,-26.516,73.686,2004-01-01,Indian Ocean
5900031_01/01/2004,34.3,22.747,1024.202026,35.256,5900031_01/01/2004,-19.067,100.443,2004-01-01,Indian Ocean
2900271_01/01/2004,489.9,10.037,1026.97998,35.044,2900271_01/01/2004,12.021,83.754,2004-01-01,Bay of Bengal
2900270_01/01/2004,209.9,14.506,1026.024048,34.927,2900270_01/01/2004,9.456,87.339,2004-01-01,Bay of Bengal
5900143_01/01/2004,1497.8,3.954,1027.607056,34.769,5900143_01/01/2004,-6.039,91.14,2004-01-01,Equatorial Region
1900133_01/01/2004,195.0,13.033,1026.58606,35.257,1900133_01/01/2004,-38.396,77.039,2004-01-01,Indian Ocean
1900161_01/01/2004,39.1,25.506,1023.497009,35.409,1900161_01/01/2004,0.664,48.717,2004-01-01,Equatorial Region
1900160_01/01/2004,999.2,7.794,1027.41394,35.139,1900160_01/01/2004,2.059,46.764,2004-01-01,Equatorial Region
1900132_01/01/2004,1663.0,2.85,1024.130981,30.28,1900132_01/01/2004,-36.985,91.027,2004-01-01,Indian Ocean
1900162_01/01/2004,239.4,11.403,1026.785034,35.106,1900162_01/01/2004,6.32,49.817,2004-01-01,Equatorial Region
