ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
1900476_01/01/2005,298.7,14.856,1026.396973,35.509,1900476_01/01/2005,-15.633,66.712,2005-01-01,Indian Ocean
1900153_01/01/2005,279.1,8.877,1026.83606,34.614,1900153_01/01/2005,-46.746,133.772,2005-01-01,Indian Ocean
1900400_01/01/2005,1987.0,2.622,1027.718018,34.748,1900400_01/01/2005,-8.638,54.402,2005-01-01,Equatorial Region
5900477_01/01/2005,54.6,22.008,1024.411987,35.256,5900477_01/01/2005,-20.082,84.669,2005-01-01,Indian Ocean
1900151_01/01/2005,259.1,10.871,1026.66394,34.826,1900151_01/01/2005,-41.464,88.427,2005-01-01,Indian Ocean
1900191_01/01/2005,3.7,3.41,1026.968018,33.898,1900191_01/01/2005,-50.98,51.232,2005-01-01,Indian Ocean
1900475_01/01/2005,4.5,27.817,1022.411011,34.939,1900475_01/01/2005,-13.641,69.829,2005-01-01,Indian Ocean
1900192_01/01/2005,289.5,2.145,1027.212036,34.066,1900192_01/01/2005,-48.179,46.898,2005-01-01,Indian Ocean
1900173_01/01/2005,219.4,3.444,1027.042969,33.997,1900173_01/01/2005,-47.476,62.121,2005-01-01,Indian Ocean
1900148_01/01/2005,899.1,4.177,1027.219971,34.311,1900148_01/01/2005,-45.899,120.314,2005-01-01,Indian Ocean
1900195_01/01/2005,4.4,15.392,1025.42395,34.4,1900195_01/01/2005,-39.922,47.512,2005-01-01,Indian Ocean
1900150_01/01/2005,279.5,14.202,1026.446045,35.389,1900150_01/01/2005,-37.873,57.783,2005-01-01,Indian Ocean
5900159_01/01/2005,39.3,-0.099,0.0,33.849,5900159_01/01/2005,-61.581,119.885,2005-01-01,Indian Ocean
5900041_01/01/2005,8.5,18.232,1025.738037,35.682,5900041_01/01/2005,-35.74,117.505,2005-01-01,Indian Ocean
1900050_01/01/2005,339.1,13.036,1026.584961,35.257,1900050_01/01/2005,-26.552,49.921,2005-01-01,Indian Ocean
2900080_01/01/2005,69.7,20.526,1024.994995,35.488,2900080_01/01/2005,5.455,58.029,2005-01-01,Equatorial Region
1900094_01/01/2005,649.3,11.138,1026.713013,34.951,1900094_01/01/2005,-39.968,67.068,2005-01-01,Indian Ocean
1900451_01/01/2005,730.0,3.819,1027.276001,34.335,1900451_01/01/2005,-42.204,52.189,2005-01-01,Indian Ocean
5900260_01/01/2005,83.0,22.688,1024.112061,35.115,5900260_01/01/2005,-18.296,99.988,2005-01-01,Indian Ocean
5900276_01/01/2005,944.7,2.763,1027.491943,34.481,5900276_01/01/2005,-50.7,129.945,2005-01-01,Indian Ocean
1900047_01/01/2005,29.1,3.264,1027.027954,33.956,1900047_01/01/2005,-53.234,103.656,2005-01-01,Indian Ocean
1900051_01/01/2005,99.2,18.987,1025.526001,35.655,1900051_01/01/2005,-27.627,50.734,2005-01-01,Indian Ocean
5900258_01/01/2005,4.2,28.046,1021.864014,34.311,5900258_01/01/2005,-13.809,81.542,2005-01-01,Indian Ocean
1900099_01/01/2005,29.6,21.17,1025.029053,35.762,1900099_01/01/2005,-29.273,83.924,2005-01-01,Indian Ocean
5900259_01/01/2005,3074.0,22.268,1024.237061,35.123,5900259_01/01/2005,-27.699,97.923,2005-01-01,Indian Ocean
1900198_01/01/2005,329.1,10.544,1026.704956,34.804,1900198_01/01/2005,-39.337,48.947,2005-01-01,Indian Ocean
1900194_02/01/2005,259.0,13.444,1026.430054,35.164,1900194_02/01/2005,-40.433,43.425,2005-01-02,Indian Ocean
5900261_02/01/2005,99.4,17.92,1025.927002,35.828,5900261_02/01/2005,-31.472,114.143,2005-01-02,Indian Ocean
