ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
5904890_01/01/2015,1564.0,2.72,1027.57,34.57,5904890_01/01/2015,-39.549,135.9,2015-01-01,Indian Ocean
1901341_01/01/2015,1846.0,2.77,1027.67,34.71,1901341_01/01/2015,-21.897,72.109,2015-01-01,Indian Ocean
2901454_01/01/2015,90.1,22.83,1024.99,36.33,2901454_01/01/2015,24.83,59.82,2015-01-01,Indian Ocean
1901323_01/01/2015,538.0,11.73,1026.67,35.04,1901323_01/01/2015,-28.069,62.885,2015-01-01,Indian Ocean
2901461_01/01/2015,120.5,14.46,1026.28,35.24,2901461_01/01/2015,5.835,52.017,2015-01-01,Equatorial Region
2901457_01/01/2015,1099.7,8.04,1027.52,35.32,2901457_01/01/2015,19.956,64.801,2015-01-01,Arabian Sea
7900398_01/01/2015,366.0,-1.83,1027.61,34.3,7900398_01/01/2015,-66.433,119.876,2015-01-01,Indian Ocean
2901858_01/01/2015,49.3,25.59,1024.02,36.14,2901858_01/01/2015,16.869,62.523,2015-01-01,Arabian Sea
2901416_01/01/2015,1199.0,7.76,1027.54,35.29,2901416_01/01/2015,24.388,62.95,2015-01-01,Arabian Sea
2901447_01/01/2015,64.9,24.95,1024.6,36.64,2901447_01/01/2015,22.872,63.865,2015-01-01,Arabian Sea
5904435_01/01/2015,70.4,12.18,1026.45,34.87,5904435_01/01/2015,-46.855,139.696,2015-01-01,Indian Ocean
5903957_01/01/2015,1986.0,2.48,1027.68,34.69,5903957_01/01/2015,-31.971,104.034,2015-01-01,Indian Ocean
2901855_01/01/2015,1970.0,3.16,1027.73,34.83,2901855_01/01/2015,12.243,61.681,2015-01-01,Arabian Sea
2901509_01/01/2015,4.8,27.07,1023.92,36.63,2901509_01/01/2015,13.336,67.043,2015-01-01,Arabian Sea
5903694_01/01/2015,1899.6,2.63,1027.71,34.74,5903694_01/01/2015,-19.319,75.127,2015-01-01,Indian Ocean
5903696_01/01/2015,538.0,8.85,1026.94,34.75,5903696_01/01/2015,-9.806,85.268,2015-01-01,Equatorial Region
5903690_01/01/2015,1972.1,2.35,1027.72,34.72,5903690_01/01/2015,-24.027,99.526,2015-01-01,Indian Ocean
2902103_01/01/2015,913.0,6.86,1027.3,34.83,2902103_01/01/2015,-4.538,61.884,2015-01-01,Equatorial Region
2902557_01/01/2015,155.0,17.07,1025.87,35.48,2902557_01/01/2015,11.488,67.174,2015-01-01,Arabian Sea
5903858_01/01/2015,388.0,11.7,1026.67,35.03,5903858_01/01/2015,-30.291,94.571,2015-01-01,Indian Ocean
1901393_01/01/2015,1950.1,2.7,1027.76,34.81,1901393_01/01/2015,-41.73,24.028,2015-01-01,Indian Ocean
1901153_01/01/2015,600.4,12.07,1026.64,35.08,1901153_01/01/2015,-37.524,44.516,2015-01-01,Indian Ocean
5901640_01/01/2015,99.5,23.7,1023.74,35.01,5901640_01/01/2015,-17.195,67.004,2015-01-01,Indian Ocean
5901677_01/01/2015,1926.0,2.49,1027.69,34.71,5901677_01/01/2015,-24.793,107.073,2015-01-01,Indian Ocean
5904445_01/01/2015,310.1,16.58,1026.12,35.67,5904445_01/01/2015,-20.48,80.035,2015-01-01,Indian Ocean
2901398_01/01/2015,30.0,25.89,1024.33,36.67,2901398_01/01/2015,18.152,67.296,2015-01-01,Arabian Sea
2901344_01/01/2015,1899.6,2.55,1027.65,34.66,2901344_01/01/2015,-39.152,93.374,2015-01-01,Indian Ocean
6900991_01/01/2015,1902.0,1.71,1027.79,34.75,6900991_01/01/2015,-52.089,62.028,2015-01-01,Indian Ocean
2901407_01/01/2015,1100.3,6.22,1027.47,34.93,2901407_01/01/2015,-0.898,86.066,2015-01-01,Equatorial Region
1901406_01/01/2015,80.4,12.54,1026.6,35.15,1901406_01/01/2015,-42.219,137.166,2015-01-01,Indian Ocean
2901339_01/01/2015,1900.3,3.51,1027.74,34.88,2901339_01/01/2015,17.226,63.592,2015-01-01,Arabian Sea
6901557_01/01/2015,1064.0,6.49,1027.42,34.91,6901557_01/01/2015,15.881,89.593,2015-01-01,Bay of Bengal
5901683_01/01/2015,229.1,18.28,1025.8,35.79,5901683_01/01/2015,-19.518,102.143,2015-01-01,Indian Ocean
2902157_01/01/2015,367.9,11.05,1026.79,35.04,2902157_01/01/2015,8.043,88.322,2015-01-01,Bay of Bengal
5903857_01/01/2015,1634.0,2.95,1027.56,34.59,5903857_01/01/2015,-33.858,97.952,2015-01-01,Indian Ocean
2902136_01/01/2015,538.0,9.53,1027.03,34.99,2902136_01/01/2015,-1.202,72.863,2015-01-01,Equatorial Region
5904415_01/01/2015,9.5,16.48,1025.69,35.07,5904415_01/01/2015,-39.32,86.807,2015-01-01,Indian Ocean
2902143_01/01/2015,1813.0,3.19,1027.68,34.76,2902143_01/01/2015,-5.234,82.235,2015-01-01,Equatorial Region
5902132_01/01/2015,150.0,20.06,1025.21,35.6,5902132_01/01/2015,-21.605,53.445,2015-01-01,Indian Ocean
1901423_01/01/2015,642.0,11.38,1026.68,34.97,1901423_01/01/2015,-37.195,40.709,2015-01-01,Indian Ocean
1901005_01/01/2015,920.0,2.35,1027.65,34.64,1901005_01/01/2015,-52.446,62.224,2015-01-01,Indian Ocean
5902265_01/01/2015,420.0,12.03,1026.91,35.42,5902265_01/01/2015,12.611,65.65,2015-01-01,Arabian Sea
1901422_01/01/2015,129.0,15.5,1026.1,35.32,1901422_01/01/2015,-27.69,35.525,2015-01-01,Indian Ocean
7900397_01/01/2015,164.0,-1.83,1027.58,34.26,7900397_01/01/2015,-66.134,120.436,2015-01-01,Indian Ocean
6901493_01/01/2015,59.3,7.57,1026.5,33.94,6901493_01/01/2015,-46.265,29.861,2015-01-01,Indian Ocean
2902130_01/01/2015,550.1,2.45,1027.49,34.45,2902130_01/01/2015,-49.999,38.804,2015-01-01,Indian Ocean
2902131_01/01/2015,167.4,8.79,1026.74,34.47,2902131_01/01/2015,-43.906,26.598,2015-01-01,Indian Ocean
