ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
7900325_01/01/2014,4.1,5.514,1026.694946,33.839,7900325_01/01/2014,-50.652,106.778,2014-01-01,Indian Ocean
1901680_01/01/2014,306.0,16.418,1026.05603,35.525,1901680_01/01/2014,-34.789,38.421,2014-01-01,Indian Ocean
1901126_01/01/2014,399.2,12.831,1026.605957,35.23,1901126_01/01/2014,-31.935,63.949,2014-01-01,Indian Ocean
5903850_01/01/2014,26.0,2.619,1027.008057,33.859,5903850_01/01/2014,-57.359,112.204,2014-01-01,Indian Ocean
1901127_01/01/2014,199.5,21.265,1024.839966,35.548,1901127_01/01/2014,-22.249,52.616,2014-01-01,Indian Ocean
5903712_01/01/2014,52.0,27.321,1021.208008,33.127,5903712_01/01/2014,15.197,86.623,2014-01-01,Bay of Bengal
5904334_01/01/2014,1994.0,2.676,1027.732056,34.772,5904334_01/01/2014,12.841,85.773,2014-01-01,Bay of Bengal
1901696_01/01/2014,1025.7,7.036,1027.016968,34.496,1901696_01/01/2014,-34.617,27.519,2014-01-01,Indian Ocean
5903852_01/01/2014,956.0,2.278,1027.686035,34.671,5903852_01/01/2014,-55.644,118.722,2014-01-01,Indian Ocean
6900927_01/01/2014,45.0,5.272,1026.530029,33.594,6900927_01/01/2014,-48.537,72.832,2014-01-01,Indian Ocean
6900749_01/01/2014,850.0,2.18,1027.720947,34.705,6900749_01/01/2014,-56.611,61.733,2014-01-01,Indian Ocean
1901151_01/01/2014,1972.0,2.354,1027.725952,34.729,1901151_01/01/2014,-44.237,89.319,2014-01-01,Indian Ocean
6900896_01/01/2014,336.0,7.838,1026.876953,34.464,6900896_01/01/2014,-43.984,61.005,2014-01-01,Indian Ocean
5903853_01/01/2014,490.0,8.947,1026.812012,34.598,5903853_01/01/2014,-47.097,134.324,2014-01-01,Indian Ocean
1901664_01/01/2014,1017.8,6.91,1027.067993,34.539,1901664_01/01/2014,-35.685,24.178,2014-01-01,Indian Ocean
1901677_01/01/2014,18.0,22.087,1024.594971,35.526,1901677_01/01/2014,-39.101,24.05,2014-01-01,Indian Ocean
6900730_01/01/2014,4.5,6.478,1026.588989,33.858,6900730_01/01/2014,-49.903,110.245,2014-01-01,Indian Ocean
2902071_01/01/2014,115.0,17.111,1025.484985,34.995,2902071_01/01/2014,-6.214,85.547,2014-01-01,Equatorial Region
5902266_01/01/2014,794.0,8.917,1027.246948,35.147,5902266_01/01/2014,8.959,68.269,2014-01-01,Equatorial Region
5903305_01/01/2014,405.0,11.142,1026.707031,34.944,5903305_01/01/2014,-38.937,87.911,2014-01-01,Indian Ocean
5903628_01/01/2014,3.0,14.483,1026.119019,35.044,5903628_01/01/2014,-41.597,120.984,2014-01-01,Indian Ocean
5902288_01/01/2014,156.0,5.049,1026.912964,34.045,5902288_01/01/2014,-47.95,101.524,2014-01-01,Indian Ocean
5902131_01/01/2014,270.4,15.522,1026.224976,35.478,5902131_01/01/2014,-31.511,40.457,2014-01-01,Indian Ocean
5901622_01/01/2014,1995.9,2.433,1027.704956,34.711,5901622_01/01/2014,-25.536,111.104,2014-01-01,Indian Ocean
5901191_01/01/2014,799.0,6.132,1027.274048,34.669,5901191_01/01/2014,-17.708,109.775,2014-01-01,Indian Ocean
2901460_01/01/2014,450.3,13.941,1026.963989,35.988,2901460_01/01/2014,20.078,59.064,2014-01-01,Indian Ocean
2901513_01/01/2014,130.0,21.14,1024.777954,35.421,2901513_01/01/2014,5.859,68.06,2014-01-01,Equatorial Region
5904246_01/01/2014,1032.0,4.448,1027.258057,34.395,5904246_01/01/2014,-29.337,99.392,2014-01-01,Indian Ocean
3901006_01/01/2014,441.0,2.612,1027.371948,34.314,3901006_01/01/2014,-47.808,49.045,2014-01-01,Indian Ocean
3901011_01/01/2014,5.5,3.68,1026.915039,33.864,3901011_01/01/2014,-50.83,41.673,2014-01-01,Indian Ocean
2902365_01/01/2014,700.6,8.548,1027.192017,35.002,2902365_01/01/2014,7.627,86.382,2014-01-01,Bay of Bengal
3900636_01/01/2014,5.5,8.576,1026.344971,33.928,3900636_01/01/2014,-46.224,34.207,2014-01-01,Indian Ocean
4901015_01/01/2014,5.0,7.989,1026.516968,34.034,4901015_01/01/2014,-51.563,134.65,2014-01-01,Indian Ocean
4901016_01/01/2014,920.0,8.966,1026.862061,34.665,4901016_01/01/2014,-36.355,55.688,2014-01-01,Indian Ocean
5900896_01/01/2014,4.8,13.609,1026.38501,35.149,5900896_01/01/2014,-41.548,80.449,2014-01-01,Indian Ocean
2902100_01/01/2014,1.0,29.123,1021.862,34.783,2902100_01/01/2014,-9.377,71.81,2014-01-01,Equatorial Region
2902107_01/01/2014,538.0,9.458,1026.968994,34.905,2902107_01/01/2014,-3.84,60.975,2014-01-01,Equatorial Region
5903668_01/01/2014,1172.0,2.096,1027.727051,34.704,5903668_01/01/2014,-52.395,101.701,2014-01-01,Indian Ocean
2901327_01/01/2014,134.0,21.357,1024.228027,34.777,2901327_01/01/2014,16.196,89.431,2014-01-01,Bay of Bengal
2901342_01/01/2014,29.8,10.279,1026.116943,33.991,2901342_01/01/2014,-42.447,53.343,2014-01-01,Indian Ocean
2901333_01/01/2014,1995.9,2.835,1027.728027,34.784,2901333_01/01/2014,13.461,87.992,2014-01-01,Bay of Bengal
2901332_01/01/2014,94.0,24.323,1023.478027,34.909,2901332_01/01/2014,9.859,85.819,2014-01-01,Bay of Bengal
5903681_01/01/2014,310.0,14.575,1026.405029,35.44,5903681_01/01/2014,-27.085,71.632,2014-01-01,Indian Ocean
1901130_01/01/2014,899.9,7.141,1026.973022,34.459,1901130_01/01/2014,-47.098,131.436,2014-01-01,Indian Ocean
2901306_01/01/2014,49.7,1.391,1027.053955,33.799,2901306_01/01/2014,-56.536,91.106,2014-01-01,Indian Ocean
2901301_01/01/2014,1899.6,1.546,1027.802002,34.745,2901301_01/01/2014,-55.109,88.778,2014-01-01,Indian Ocean
1901129_01/01/2014,1549.7,3.218,1027.521973,34.57,1901129_01/01/2014,-31.545,78.386,2014-01-01,Indian Ocean
5904313_01/01/2014,16.0,27.199,1021.932983,34.039,5904313_01/01/2014,11.531,86.199,2014-01-01,Bay of Bengal
2901453_01/01/2014,1100.1,7.465,1027.531006,35.226,2901453_01/01/2014,10.673,55.897,2014-01-01,Indian Ocean
2901428_01/01/2014,30.5,26.341,1023.783997,36.134,2901428_01/01/2014,10.74,61.519,2014-01-01,Arabian Sea
2901427_01/01/2014,1100.3,8.093,1027.496948,35.301,2901427_01/01/2014,13.314,62.03,2014-01-01,Arabian Sea
1901336_01/01/2014,598.0,11.102,1026.714966,34.946,1901336_01/01/2014,-25.314,38.141,2014-01-01,Indian Ocean
7900310_01/01/2014,1720.0,0.132,1027.829956,34.666,7900310_01/01/2014,-67.379,35.229,2014-01-01,Indian Ocean
5903928_01/01/2014,550.0,2.198,1027.656982,34.627,5903928_01/01/2014,-58.588,118.516,2014-01-01,Indian Ocean
1901322_01/01/2014,1844.0,2.544,1027.68396,34.697,1901322_01/01/2014,-24.973,62.266,2014-01-01,Indian Ocean
1901337_01/01/2014,400.0,13.098,1026.55896,35.239,1901337_01/01/2014,-25.24,38.296,2014-01-01,Indian Ocean
7900307_01/01/2014,1784.0,2.064,1027.764038,34.747,7900307_01/01/2014,-49.635,109.347,2014-01-01,Indian Ocean
1901165_01/01/2014,440.4,9.529,1026.915039,34.851,1901165_01/01/2014,-6.981,50.537,2014-01-01,Equatorial Region
1901182_01/01/2014,126.0,2.108,1027.069946,33.885,1901182_01/01/2014,-49.978,51.739,2014-01-01,Indian Ocean
5903936_01/01/2014,139.4,19.529,1025.329956,35.581,5903936_01/01/2014,-25.164,111.16,2014-01-01,Indian Ocean
1901201_01/01/2014,588.0,1.874,1027.735962,34.694,1901201_01/01/2014,-53.841,45.899,2014-01-01,Indian Ocean
1901190_01/01/2014,1980.0,2.512,1027.68103,34.69,1901190_01/01/2014,-36.963,70.731,2014-01-01,Indian Ocean
5903954_01/01/2014,1494.0,3.414,1027.54895,34.628,5903954_01/01/2014,-25.097,99.457,2014-01-01,Indian Ocean
1901369_01/01/2014,1400.2,3.53,1024.531982,30.854,1901369_01/01/2014,-29.397,76.767,2014-01-01,Indian Ocean
1901396_01/01/2014,70.3,22.771,1024.322998,35.424,1901396_01/01/2014,-24.451,84.381,2014-01-01,Indian Ocean
1901409_01/01/2014,9.8,19.575,1025.463013,35.771,1901409_01/01/2014,-30.966,92.42,2014-01-01,Indian Ocean
1901663_01/01/2014,794.0,10.706,1026.745972,34.894,1901663_01/01/2014,-36.689,28.308,2014-01-01,Indian Ocean
5903908_01/01/2014,80.0,26.61,1022.77301,34.906,5903908_01/01/2014,-5.588,97.246,2014-01-01,Equatorial Region
1901060_01/01/2014,749.2,8.526,1026.720947,34.397,1901060_01/01/2014,-27.374,86.537,2014-01-01,Indian Ocean
1900967_01/01/2014,231.0,12.464,1026.613037,35.146,1900967_01/01/2014,-39.292,77.494,2014-01-01,Indian Ocean
5903953_01/01/2014,1979.2,2.453,1027.709961,34.72,5903953_01/01/2014,-24.942,81.956,2014-01-01,Indian Ocean
3901015_02/01/2014,966.0,3.574,1027.390015,34.448,3901015_02/01/2014,-42.749,30.469,2014-01-02,Indian Ocean
5903947_02/01/2014,1028.0,4.875,1027.385986,34.617,5903947_02/01/2014,-14.612,117.289,2014-01-02,Indian Ocean
5902254_02/01/2014,40.0,14.216,1026.233032,35.117,5902254_02/01/2014,-39.675,110.968,2014-01-02,Indian Ocean
5900899_02/01/2014,349.5,2.168,1027.484009,34.408,5900899_02/01/2014,-55.889,73.602,2014-01-02,Indian Ocean
5900849_02/01/2014,319.3,11.198,1026.708008,34.959,5900849_02/01/2014,-36.002,118.663,2014-01-02,Indian Ocean
2902086_02/01/2014,7.1,26.894,1021.570984,33.43,2902086_02/01/2014,13.239,86.383,2014-01-02,Bay of Bengal
5901714_02/01/2014,110.0,14.701,1026.358032,35.415,5901714_02/01/2014,-34.655,108.199,2014-01-02,Indian Ocean
5901663_02/01/2014,2001.3,2.465,1027.69104,34.697,5901663_02/01/2014,-33.757,63.133,2014-01-02,Indian Ocean
2902072_02/01/2014,86.0,21.54,1024.608032,35.343,2902072_02/01/2014,-2.248,80.78,2014-01-02,Equatorial Region
5901631_02/01/2014,3.9,14.852,1026.093018,35.114,5901631_02/01/2014,-41.228,119.288,2014-01-02,Indian Ocean
7900389_02/01/2014,1900.0,0.163,1027.833984,34.674,7900389_02/01/2014,-65.147,64.16,2014-01-02,Indian Ocean
2902087_02/01/2014,2.2,25.29,1019.846008,30.482,2902087_02/01/2014,18.202,91.131,2014-01-02,Bay of Bengal
2902576_02/01/2014,1413.0,4.922,1027.577026,34.865,2902576_02/01/2014,0.225,67.315,2014-01-02,Equatorial Region
1901064_02/01/2014,649.1,7.327,1026.974976,34.494,1901064_02/01/2014,-37.745,93.351,2014-01-02,Indian Ocean
2902648_02/01/2014,209.9,14.308,1026.162964,35.052,2902648_02/01/2014,6.518,73.706,2014-01-02,Equatorial Region
2902556_02/01/2014,1538.0,4.796,1027.642944,34.929,2902556_02/01/2014,9.427,62.017,2014-01-02,Equatorial Region
3901013_02/01/2014,5.5,10.536,1026.217041,34.176,3901013_02/01/2014,-43.863,22.673,2014-01-02,Indian Ocean
3900994_02/01/2014,513.0,4.226,1027.185059,34.274,3900994_02/01/2014,-47.324,89.883,2014-01-02,Indian Ocean
2902108_02/01/2014,8.0,28.049,1022.513,35.176,2902108_02/01/2014,-2.516,67.539,2014-01-02,Equatorial Region
2902101_02/01/2014,1960.0,2.796,1027.688965,34.731,2902101_02/01/2014,-11.916,80.118,2014-01-02,Indian Ocean
2902109_02/01/2014,1463.0,4.669,1027.592041,34.847,2902109_02/01/2014,-1.118,71.443,2014-01-02,Equatorial Region
5903910_02/01/2014,92.0,21.37,1024.093994,34.606,5903910_02/01/2014,-9.637,96.923,2014-01-02,Equatorial Region
5903707_02/01/2014,630.0,8.183,1027.095947,34.808,5903707_02/01/2014,-7.235,100.729,2014-01-02,Equatorial Region
5903912_02/01/2014,54.0,28.602,1021.640991,34.258,5903912_02/01/2014,-6.487,100.363,2014-01-02,Equatorial Region
5903913_02/01/2014,116.0,21.242,1024.005981,34.444,5903913_02/01/2014,-10.884,103.603,2014-01-02,Indian Ocean
1901131_02/01/2014,6.3,14.375,1026.036987,34.908,1901131_02/01/2014,-39.93,126.533,2014-01-02,Indian Ocean
1901062_02/01/2014,949.0,5.554,1027.130005,34.395,1901062_02/01/2014,-30.234,82.456,2014-01-02,Indian Ocean
5903218_02/01/2014,259.5,9.686,1026.765991,34.694,5903218_02/01/2014,-42.959,129.929,2014-01-02,Indian Ocean
5903408_02/01/2014,1999.1,1.792,1027.781982,34.743,5903408_02/01/2014,-56.06,134.975,2014-01-02,Indian Ocean
5903317_02/01/2014,261.0,12.716,1026.581055,35.168,5903317_02/01/2014,-33.477,112.773,2014-01-02,Indian Ocean
1901696_02/01/2014,440.0,14.355,1026.404053,35.377,1901696_02/01/2014,-34.781,27.204,2014-01-02,Indian Ocean
