ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
1901413_01/01/2011,1750.6,2.27,1027.718018,34.711,1901413_01/01/2011,-50.866,132.389,2011-01-01,Indian Ocean
2901130_01/01/2011,29.8,26.243,1023.580017,35.823,2901130_01/01/2011,16.127,69.19,2011-01-01,Arabian Sea
5903263_01/01/2011,1084.0,2.251,1027.704956,34.693,5903263_01/01/2011,-57.04,132.029,2011-01-01,Indian Ocean
5900899_01/01/2011,19.5,3.055,1026.970947,33.861,5900899_01/01/2011,-50.658,22.832,2011-01-01,Indian Ocean
5900878_01/01/2011,2000.9,2.302,1027.713989,34.709,5900878_01/01/2011,-35.251,127.167,2011-01-01,Indian Ocean
2901150_01/01/2011,41.0,20.837,1024.833008,35.385,2901150_01/01/2011,3.29,51.882,2011-01-01,Equatorial Region
5903226_01/01/2011,1940.0,2.347,1027.696045,34.691,5903226_01/01/2011,-40.783,135.441,2011-01-01,Indian Ocean
5900862_01/01/2011,1985.8,2.485,1027.725952,34.743,5900862_01/01/2011,-12.694,111.548,2011-01-01,Indian Ocean
2901286_01/01/2011,1000.0,6.751,1027.399048,34.931,2901286_01/01/2011,9.739,88.302,2011-01-01,Bay of Bengal
2901284_01/01/2011,1977.0,2.695,1027.723999,34.764,2901284_01/01/2011,9.306,85.694,2011-01-01,Bay of Bengal
2901151_01/01/2011,110.6,22.825,1024.439941,35.599,2901151_01/01/2011,14.417,54.358,2011-01-01,Indian Ocean
5901680_01/01/2011,299.2,12.473,1026.432007,34.915,5901680_01/01/2011,-13.246,107.9,2011-01-01,Indian Ocean
5900600_01/01/2011,749.0,6.323,1027.149048,34.542,5900600_01/01/2011,-16.721,71.442,2011-01-01,Indian Ocean
5900683_01/01/2011,799.2,6.056,1027.321045,34.716,5900683_01/01/2011,-14.712,78.375,2011-01-01,Indian Ocean
5900684_01/01/2011,149.4,21.873,1024.58606,35.436,5900684_01/01/2011,-19.249,67.433,2011-01-01,Indian Ocean
6900738_01/01/2011,279.5,11.039,1026.678955,34.885,6900738_01/01/2011,-43.415,77.727,2011-01-01,Indian Ocean
5901682_01/01/2011,1099.3,5.036,1027.412964,34.674,5901682_01/01/2011,-9.945,95.079,2011-01-01,Equatorial Region
1901170_01/01/2011,16.0,6.548,1026.72998,34.048,1901170_01/01/2011,-48.251,124.1,2011-01-01,Indian Ocean
7900043_01/01/2011,100.0,2.766,1026.954956,33.809,7900043_01/01/2011,-49.525,67.972,2011-01-01,Indian Ocean
5900850_01/01/2011,1898.8,2.553,1027.666016,34.675,5900850_01/01/2011,-38.193,113.067,2011-01-01,Indian Ocean
5903245_01/01/2011,160.0,1.678,1027.552002,34.446,5903245_01/01/2011,-60.034,107.484,2011-01-01,Indian Ocean
5901142_01/01/2011,259.3,12.49,1026.609985,35.148,5901142_01/01/2011,-30.277,88.706,2011-01-01,Indian Ocean
5903320_01/01/2011,1836.0,2.64,1027.594971,34.596,5903320_01/01/2011,-49.0,127.083,2011-01-01,Indian Ocean
1900273_01/01/2011,69.6,24.118,1023.749023,35.186,1900273_01/01/2011,-19.155,68.308,2011-01-01,Indian Ocean
5901166_01/01/2011,1898.8,2.663,1027.650024,34.668,5901166_01/01/2011,-34.249,95.822,2011-01-01,Indian Ocean
5901167_01/01/2011,9.6,23.952,1023.838989,35.24,5901167_01/01/2011,-23.131,85.752,2011-01-01,Indian Ocean
5902285_01/01/2011,588.0,2.51,1027.478027,34.436,5902285_01/01/2011,-50.477,35.181,2011-01-01,Indian Ocean
3900719_01/01/2011,1056.0,2.544,1027.619019,34.616,3900719_01/01/2011,-49.814,44.858,2011-01-01,Indian Ocean
3900720_01/01/2011,39.0,7.208,1026.532959,33.912,3900720_01/01/2011,-46.336,33.254,2011-01-01,Indian Ocean
2901084_01/01/2011,2000.0,2.759,1027.735962,34.786,2901084_01/01/2011,2.635,84.731,2011-01-01,Equatorial Region
3900423_01/01/2011,996.0,2.78,1027.467041,34.452,3900423_01/01/2011,-44.879,43.725,2011-01-01,Indian Ocean
4900485_01/01/2011,397.1,11.321,1026.68396,34.957,4900485_01/01/2011,-35.098,81.71,2011-01-01,Indian Ocean
1901437_01/01/2011,1236.0,3.77,1027.312988,34.376,1901437_01/01/2011,-35.781,80.52,2011-01-01,Indian Ocean
3900722_01/01/2011,69.0,6.73,1026.624023,33.944,3900722_01/01/2011,-45.777,32.172,2011-01-01,Indian Ocean
2901616_01/01/2011,1889.0,2.975,1027.714966,34.784,2901616_01/01/2011,-0.823,83.319,2011-01-01,Equatorial Region
1900272_01/01/2011,949.2,5.903,1027.439941,34.842,1900272_01/01/2011,-8.738,44.65,2011-01-01,Equatorial Region
1901389_01/01/2011,279.9,12.793,1026.56897,35.173,1901389_01/01/2011,-28.378,81.722,2011-01-01,Indian Ocean
1901390_01/01/2011,6.0,27.897,1022.732971,35.402,1901390_01/01/2011,-28.546,47.71,2011-01-01,Indian Ocean
1901197_01/01/2011,1963.0,1.424,1027.80896,34.742,1901197_01/01/2011,-50.229,107.94,2011-01-01,Indian Ocean
5900338_01/01/2011,59.2,10.872,1026.526001,34.649,5900338_01/01/2011,-43.833,123.689,2011-01-01,Indian Ocean
5901711_01/01/2011,19.0,17.159,1025.910034,35.564,5901711_01/01/2011,-38.14,119.07,2011-01-01,Indian Ocean
5901694_01/01/2011,249.2,12.008,1026.655029,35.086,5901694_01/01/2011,-33.416,108.248,2011-01-01,Indian Ocean
1901421_01/01/2011,93.0,23.94,1023.715027,35.072,1901421_01/01/2011,-22.798,56.301,2011-01-01,Indian Ocean
1901399_01/01/2011,139.6,5.826,1026.910034,34.159,1901399_01/01/2011,-48.719,101.873,2011-01-01,Indian Ocean
5900039_01/01/2011,1599.3,2.787,1027.592041,34.609,5900039_01/01/2011,-37.691,118.929,2011-01-01,Indian Ocean
5901445_01/01/2011,1610.0,0.458,1027.828003,34.687,5901445_01/01/2011,-64.716,38.759,2011-01-01,Indian Ocean
5903246_01/01/2011,1936.0,1.466,1027.803955,34.74,5903246_01/01/2011,-57.643,121.964,2011-01-01,Indian Ocean
1900723_01/01/2011,934.0,5.866,1027.079956,34.38,1900723_01/01/2011,-36.293,86.449,2011-01-01,Indian Ocean
1900869_01/01/2011,194.0,1.528,1027.552002,34.432,1900869_01/01/2011,-59.926,60.166,2011-01-01,Indian Ocean
1900873_01/01/2011,4.2,17.324,1025.873047,35.567,1900873_01/01/2011,-38.972,48.952,2011-01-01,Indian Ocean
5901491_01/01/2011,1939.4,2.546,1027.665039,34.673,5901491_01/01/2011,-31.498,53.803,2011-01-01,Indian Ocean
1900684_01/01/2011,95.0,3.947,1026.979004,33.979,1900684_01/01/2011,-49.114,106.627,2011-01-01,Indian Ocean
1900577_01/01/2011,1800.0,1.882,1027.782959,34.753,1900577_01/01/2011,-55.353,127.792,2011-01-01,Indian Ocean
1900701_01/01/2011,231.0,12.352,1026.593018,35.092,1900701_01/01/2011,-31.661,85.497,2011-01-01,Indian Ocean
5901496_01/01/2011,30.3,2.3,1027.040039,33.867,5901496_01/01/2011,-53.981,63.192,2011-01-01,Indian Ocean
