ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
1900928_01/01/2008,1014.0,2.278,1027.754028,34.756,1900928_01/01/2008,-49.361,36.964,2008-01-01,Indian Ocean
2900883_01/01/2008,480.9,10.262,1026.928955,35.028,2900883_01/01/2008,15.285,89.742,2008-01-01,Bay of Bengal
2900887_01/01/2008,4.1,26.447,1021.015991,32.505,2900887_01/01/2008,16.005,89.074,2008-01-01,Bay of Bengal
1900927_01/01/2008,316.0,2.345,1027.374023,34.289,1900927_01/01/2008,-48.934,39.323,2008-01-01,Indian Ocean
2900768_01/01/2008,259.4,12.212,1026.589966,35.053,2900768_01/01/2008,12.101,84.063,2008-01-01,Bay of Bengal
2900597_01/01/2008,1266.0,4.6,1027.501953,34.724,2900597_01/01/2008,-13.155,65.525,2008-01-01,Indian Ocean
2900595_01/01/2008,0.0,28.773,1021.68103,34.386,2900595_01/01/2008,-11.007,74.131,2008-01-01,Indian Ocean
2900127_01/01/2008,1890.0,0.387,1027.832031,34.687,2900127_01/01/2008,-64.154,127.331,2008-01-01,Indian Ocean
5900801_02/01/2008,164.5,1.616,1027.237061,34.047,5900801_02/01/2008,-57.486,130.244,2008-01-02,Indian Ocean
5900791_02/01/2008,69.5,1.487,1027.062012,33.818,5900791_02/01/2008,-59.867,138.606,2008-01-02,Indian Ocean
1900722_02/01/2008,180.3,12.428,1026.595947,35.115,1900722_02/01/2008,-38.141,78.954,2008-01-02,Indian Ocean
2900128_02/01/2008,350.0,1.21,1027.791992,34.703,2900128_02/01/2008,-63.525,117.332,2008-01-02,Indian Ocean
2900593_02/01/2008,34.0,27.346,1022.521973,34.885,2900593_02/01/2008,-5.367,72.243,2008-01-02,Equatorial Region
1900723_02/01/2008,662.0,9.252,1026.823975,34.676,1900723_02/01/2008,-37.892,88.922,2008-01-02,Indian Ocean
5900034_02/01/2008,69.3,25.652,1022.81897,34.57,5900034_02/01/2008,-13.511,90.8,2008-01-02,Indian Ocean
1900920_02/01/2008,0.0,17.135,1025.452026,34.96,1900920_02/01/2008,-38.98,39.154,2008-01-02,Indian Ocean
5900335_02/01/2008,649.4,9.264,1026.821045,34.675,5900335_02/01/2008,-35.545,97.427,2008-01-02,Indian Ocean
5901070_02/01/2008,949.1,4.734,1027.177979,34.334,5901070_02/01/2008,-41.781,92.301,2008-01-02,Indian Ocean
5901372_02/01/2008,204.0,13.877,1026.218018,35.006,5901372_02/01/2008,9.168,86.775,2008-01-02,Bay of Bengal
2900590_02/01/2008,1986.0,2.883,1027.712036,34.77,2900590_02/01/2008,-3.223,73.313,2008-01-02,Equatorial Region
5901267_02/01/2008,1356.0,3.174,1027.448975,34.474,5901267_02/01/2008,-45.235,138.715,2008-01-02,Indian Ocean
1900047_02/01/2008,849.4,2.332,1027.636963,34.616,1900047_02/01/2008,-56.949,135.982,2008-01-02,Indian Ocean
1900372_02/01/2008,4.2,26.914,1023.562988,36.082,1900372_02/01/2008,7.943,56.684,2008-01-02,Equatorial Region
2900530_02/01/2008,4.3,28.634,1022.429016,35.321,2900530_02/01/2008,0.741,67.51,2008-01-02,Equatorial Region
1900374_02/01/2008,158.8,15.297,1026.157959,35.325,1900374_02/01/2008,9.348,63.772,2008-01-02,Equatorial Region
1900144_02/01/2008,999.6,4.998,1025.083008,31.729,1900144_02/01/2008,-8.956,79.774,2008-01-02,Equatorial Region
1900192_02/01/2008,948.8,6.36,1027.051025,34.424,1900192_02/01/2008,-36.091,80.109,2008-01-02,Indian Ocean
1900375_02/01/2008,748.8,8.661,1027.323975,35.193,1900375_02/01/2008,7.892,51.859,2008-01-02,Equatorial Region
1900585_02/01/2008,1399.3,5.145,1027.578003,34.899,1900585_02/01/2008,1.99,51.597,2008-01-02,Equatorial Region
5901101_02/01/2008,1999.4,2.524,1027.665039,34.671,5901101_02/01/2008,-39.607,92.156,2008-01-02,Indian Ocean
5901189_02/01/2008,4.2,28.466,1021.969971,34.635,5901189_02/01/2008,-15.734,114.67,2008-01-02,Indian Ocean
5901096_02/01/2008,849.2,6.189,1027.062988,34.411,5901096_02/01/2008,-41.657,133.816,2008-01-02,Indian Ocean
1900575_02/01/2008,145.0,14.634,1026.359985,35.398,1900575_02/01/2008,-32.021,63.436,2008-01-02,Indian Ocean
1900484_02/01/2008,1599.1,1.323,1027.805054,34.728,1900484_02/01/2008,-58.5,71.991,2008-01-02,Indian Ocean
5901247_02/01/2008,1422.0,3.654,1027.535034,34.64,5901247_02/01/2008,-21.72,93.655,2008-01-02,Indian Ocean
2900673_02/01/2008,522.0,9.658,1027.01001,35.0,2900673_02/01/2008,-2.066,72.206,2008-01-02,Equatorial Region
2900125_02/01/2008,378.0,0.49,1027.800049,34.655,2900125_02/01/2008,-63.832,116.188,2008-01-02,Indian Ocean
7900117_02/01/2008,414.0,8.775,1026.837036,34.595,7900117_02/01/2008,-45.244,135.923,2008-01-02,Indian Ocean
2900755_02/01/2008,19.4,27.412,1021.564026,33.64,2900755_02/01/2008,14.768,88.881,2008-01-02,Bay of Bengal
2900756_02/01/2008,2002.5,2.725,1027.729004,34.773,2900756_02/01/2008,18.006,90.28,2008-01-02,Bay of Bengal
2900122_02/01/2008,746.0,1.213,1027.812012,34.728,2900122_02/01/2008,-63.254,118.893,2008-01-02,Indian Ocean
4900475_02/01/2008,1800.3,2.648,1027.588013,34.588,4900475_02/01/2008,-46.119,117.116,2008-01-02,Indian Ocean
2901075_02/01/2008,491.0,10.122,1026.948975,35.023,2901075_02/01/2008,17.038,90.479,2008-01-02,Bay of Bengal
3900197_02/01/2008,0.0,9.302,1026.593994,34.392,3900197_02/01/2008,-45.878,118.843,2008-01-02,Indian Ocean
3900369_02/01/2008,5.0,9.04,1026.170044,33.797,3900369_02/01/2008,-44.684,40.861,2008-01-02,Indian Ocean
2901074_02/01/2008,182.8,14.929,1025.938965,34.936,2901074_02/01/2008,17.1,89.215,2008-01-02,Bay of Bengal
2900803_02/01/2008,1206.7,8.237,1027.505981,35.341,2900803_02/01/2008,24.068,60.165,2008-01-02,Arabian Sea
2900779_02/01/2008,0.2,26.471,1016.562012,26.59,2900779_02/01/2008,7.099,72.918,2008-01-02,Equatorial Region
1900414_03/01/2008,8.0,19.635,1025.207031,35.456,1900414_03/01/2008,-33.481,66.099,2008-01-03,Indian Ocean
5901369_03/01/2008,1742.6,3.459,1027.676025,34.792,5901369_03/01/2008,-3.977,94.628,2008-01-03,Equatorial Region
2900426_03/01/2008,168.0,15.919,1025.922974,35.203,2900426_03/01/2008,-2.852,63.926,2008-01-03,Equatorial Region
5900415_03/01/2008,606.0,7.978,1026.947998,34.58,5900415_03/01/2008,-20.572,99.689,2008-01-03,Indian Ocean
2900539_03/01/2008,5.3,28.881,1021.452026,34.129,2900539_03/01/2008,-7.983,72.956,2008-01-03,Equatorial Region
2900538_03/01/2008,1008.3,6.338,1027.435059,34.906,2900538_03/01/2008,-2.372,90.927,2008-01-03,Equatorial Region
