ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
1900085_01/01/2002,79.1,20.238,1025.208008,35.666,1900085_01/01/2002,-29.443,48.745,2002-01-01,Indian Ocean
53555_01/01/2002,2170.6,2.23,1027.744019,34.739,53555_01/01/2002,-13.193,109.432,2002-01-01,Indian Ocean
5900143_01/01/2002,736.3,7.482,1027.218994,34.833,5900143_01/01/2002,-4.237,91.254,2002-01-01,Equatorial Region
2900166_01/01/2002,1899.4,3.123,1027.713013,34.798,2900166_01/01/2002,1.259,62.542,2002-01-01,Equatorial Region
2900165_01/01/2002,479.5,9.891,1026.94397,34.966,2900165_01/01/2002,-0.45,60.584,2002-01-01,Equatorial Region
5900144_01/01/2002,896.1,6.192,1027.319946,34.737,5900144_01/01/2002,-5.192,91.48,2002-01-01,Equatorial Region
1900086_01/01/2002,1199.3,5.029,1027.225952,34.437,1900086_01/01/2002,-32.568,47.064,2002-01-01,Indian Ocean
2900193_01/01/2002,319.4,12.137,1026.694946,35.17,2900193_01/01/2002,7.772,67.759,2002-01-01,Equatorial Region
1900101_02/01/2002,239.1,1.464,1027.177002,33.959,1900101_02/01/2002,-47.956,25.395,2002-01-02,Indian Ocean
1900102_02/01/2002,329.5,1.927,1027.333008,34.196,1900102_02/01/2002,-49.622,22.311,2002-01-02,Indian Ocean
53546_02/01/2002,739.8,6.21,1027.204956,34.594,53546_02/01/2002,-13.462,121.333,2002-01-02,Indian Ocean
2900079_02/01/2002,9.0,28.49,1022.723999,35.65,2900079_02/01/2002,-0.24,63.53,2002-01-02,Equatorial Region
1900103_02/01/2002,339.5,1.609,1027.639038,34.547,1900103_02/01/2002,-52.334,22.493,2002-01-02,Indian Ocean
2900080_02/01/2002,9.3,28.125,1022.866028,35.678,2900080_02/01/2002,4.779,62.836,2002-01-02,Equatorial Region
1900083_03/01/2002,598.9,12.071,1026.640991,35.084,1900083_03/01/2002,-31.74,35.869,2002-01-03,Indian Ocean
56509_03/01/2002,858.6,5.534,1027.246948,34.539,56509_03/01/2002,-22.647,108.742,2002-01-03,Indian Ocean
56510_03/01/2002,79.2,24.545,1022.968018,34.322,56510_03/01/2002,-16.805,108.618,2002-01-03,Indian Ocean
69008_03/01/2002,149.0,22.21,1028.366943,40.53,69008_03/01/2002,19.41,39.0,2002-01-03,Indian Ocean
1900105_03/01/2002,1899.3,0.196,1027.832031,34.674,1900105_03/01/2002,-54.97,20.092,2002-01-03,Indian Ocean
53547_05/01/2002,178.6,13.464,1025.984985,34.594,53547_05/01/2002,-7.256,101.393,2002-01-05,Equatorial Region
53548_06/01/2002,458.0,8.541,1027.932983,35.946,53548_06/01/2002,-14.373,114.886,2002-01-06,Indian Ocean
2900168_06/01/2002,279.4,12.55,1026.657959,35.226,2900168_06/01/2002,8.428,61.348,2002-01-06,Equatorial Region
5900145_06/01/2002,722.0,7.41,1027.218994,34.82,5900145_06/01/2002,-4.932,95.969,2002-01-06,Equatorial Region
5900147_06/01/2002,5.0,29.74,1021.08197,34.02,5900147_06/01/2002,-5.341,96.733,2002-01-06,Equatorial Region
2900080_07/01/2002,59.3,25.773,1023.583008,35.632,2900080_07/01/2002,4.732,62.567,2002-01-07,Equatorial Region
2900079_07/01/2002,78.4,20.2,1025.015015,35.4,2900079_07/01/2002,-0.26,63.37,2002-01-07,Equatorial Region
2900161_07/01/2002,379.4,13.924,1026.886963,35.884,2900161_07/01/2002,19.934,63.668,2002-01-07,Arabian Sea
2900159_07/01/2002,779.2,9.916,1027.274048,35.393,2900159_07/01/2002,14.142,64.752,2002-01-07,Arabian Sea
