ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
53548_01/01/2001,857.6,5.323,1027.348022,34.635,53548_01/01/2001,-15.252,114.304,2001-01-01,Indian Ocean
53553_03/01/2001,558.2,7.994,1026.98999,34.637,53553_03/01/2001,-14.046,107.97,2001-01-03,Indian Ocean
69008_03/01/2001,585.3,21.54,1028.598022,40.58,69008_03/01/2001,18.18,39.59,2001-01-03,Indian Ocean
69007_03/01/2001,299.1,21.52,1028.535034,40.49,69007_03/01/2001,24.9,35.01,2001-01-03,Indian Ocean
56508_04/01/2001,678.1,6.792,1027.147949,34.62,56508_04/01/2001,-15.329,118.507,2001-01-04,Indian Ocean
53554_05/01/2001,338.7,10.579,1026.578003,34.649,53554_05/01/2001,-12.592,107.575,2001-01-05,Indian Ocean
56501_05/01/2001,18.6,23.354,1023.866028,35.044,56501_05/01/2001,-23.162,110.352,2001-01-05,Indian Ocean
53555_06/01/2001,127.6,22.669,1023.53302,34.345,53555_06/01/2001,-11.256,112.566,2001-01-06,Indian Ocean
53546_07/01/2001,2103.9,2.295,1027.719971,34.716,53546_07/01/2001,-14.158,120.41,2001-01-07,Indian Ocean
56510_08/01/2001,2148.6,2.278,1027.72998,34.727,56510_08/01/2001,-16.285,108.783,2001-01-08,Indian Ocean
69008_08/01/2001,5.0,27.8,1024.932007,38.28,69008_08/01/2001,18.19,39.58,2001-01-08,Indian Ocean
69007_08/01/2001,239.7,21.62,1028.499023,40.48,69007_08/01/2001,24.86,35.01,2001-01-08,Indian Ocean
56509_08/01/2001,1697.7,2.883,1027.649048,34.691,56509_08/01/2001,-20.997,107.808,2001-01-08,Indian Ocean
53547_10/01/2001,1997.3,2.596,1027.71106,34.737,53547_10/01/2001,-7.419,101.661,2001-01-10,Equatorial Region
53548_11/01/2001,88.9,23.436,1023.578003,34.695,53548_11/01/2001,-14.745,114.347,2001-01-11,Indian Ocean
53553_13/01/2001,179.4,19.35,1024.769043,34.786,53553_13/01/2001,-14.025,107.988,2001-01-13,Indian Ocean
69008_13/01/2001,599.5,21.54,1028.598022,40.58,69008_13/01/2001,18.11,39.63,2001-01-13,Indian Ocean
56508_14/01/2001,1697.4,2.937,1027.651978,34.701,56508_14/01/2001,-15.087,118.744,2001-01-14,Indian Ocean
53554_15/01/2001,1198.1,4.412,1027.453003,34.636,53554_15/01/2001,-12.651,107.521,2001-01-15,Indian Ocean
56501_15/01/2001,19.3,23.732,1023.708008,34.981,56501_15/01/2001,-23.332,110.326,2001-01-15,Indian Ocean
53555_16/01/2001,998.8,5.407,1027.334961,34.631,53555_16/01/2001,-11.331,112.586,2001-01-16,Indian Ocean
53546_17/01/2001,618.9,7.183,1027.072021,34.592,53546_17/01/2001,-14.193,120.274,2001-01-17,Indian Ocean
56510_18/01/2001,797.2,5.931,1027.286011,34.651,56510_18/01/2001,-16.472,108.626,2001-01-18,Indian Ocean
69008_18/01/2001,249.6,21.68,1028.526978,40.54,69008_18/01/2001,18.05,39.65,2001-01-18,Indian Ocean
56509_18/01/2001,438.8,10.679,1026.750977,34.894,56509_18/01/2001,-20.943,107.714,2001-01-18,Indian Ocean
53547_20/01/2001,737.1,7.162,1027.198975,34.75,53547_20/01/2001,-7.356,101.859,2001-01-20,Equatorial Region
53548_21/01/2001,158.0,18.478,1024.905029,34.674,53548_21/01/2001,-14.166,114.299,2001-01-21,Indian Ocean
53553_23/01/2001,918.6,5.348,1027.338989,34.627,53553_23/01/2001,-14.01,108.151,2001-01-23,Indian Ocean
69008_23/01/2001,99.6,24.09,1027.255005,39.8,69008_23/01/2001,17.95,39.69,2001-01-23,Indian Ocean
56508_24/01/2001,1097.0,4.713,1027.405029,34.618,56508_24/01/2001,-15.355,118.754,2001-01-24,Indian Ocean
56501_24/01/2001,857.3,5.55,1027.291016,34.597,56501_24/01/2001,-23.418,110.222,2001-01-24,Indian Ocean
53554_25/01/2001,258.7,12.67,1026.23999,34.717,53554_25/01/2001,-12.834,107.426,2001-01-25,Indian Ocean
53555_26/01/2001,678.5,7.184,1027.130005,34.666,53555_26/01/2001,-10.766,112.496,2001-01-26,Indian Ocean
53546_27/01/2001,438.3,9.156,1026.82605,34.659,53546_27/01/2001,-14.168,120.305,2001-01-27,Indian Ocean
56509_28/01/2001,237.8,17.002,1026.088013,35.746,56509_28/01/2001,-20.875,107.587,2001-01-28,Indian Ocean
69008_28/01/2001,6.0,26.2,1025.214966,37.97,69008_28/01/2001,17.81,39.75,2001-01-28,Indian Ocean
56510_29/01/2001,498.1,8.361,1026.925049,34.625,56510_29/01/2001,-16.414,108.577,2001-01-29,Indian Ocean
53547_30/01/2001,59.0,28.594,1021.447021,33.995,53547_30/01/2001,-7.25,102.119,2001-01-30,Equatorial Region
53548_31/01/2001,437.4,8.907,1026.969971,34.791,53548_31/01/2001,-13.689,114.073,2001-01-31,Indian Ocean
53553_02/02/2001,798.4,6.121,1027.250977,34.638,53553_02/02/2001,-14.076,108.264,2001-02-02,Indian Ocean
69008_02/02/2001,5.0,26.91,1025.334961,38.43,69008_02/02/2001,17.77,39.74,2001-02-02,Indian Ocean
56508_03/02/2001,278.6,14.068,1026.162964,34.986,56508_03/02/2001,-15.552,118.517,2001-02-03,Indian Ocean
56501_04/02/2001,1997.7,2.422,1027.708008,34.714,56501_04/02/2001,-23.462,110.054,2001-02-04,Indian Ocean
53554_04/02/2001,299.2,11.752,1026.488037,34.809,53554_04/02/2001,-12.987,107.455,2001-02-04,Indian Ocean
53555_05/02/2001,1498.6,3.334,1027.608032,34.692,53555_05/02/2001,-10.433,112.333,2001-02-05,Indian Ocean
53546_06/02/2001,1998.7,2.442,1027.706055,34.714,53546_06/02/2001,-14.161,120.222,2001-02-06,Indian Ocean
69008_07/02/2001,99.6,23.5,1027.713989,40.17,69008_07/02/2001,17.78,39.77,2001-02-07,Indian Ocean
56509_07/02/2001,317.6,13.319,1026.572998,35.315,56509_07/02/2001,-21.024,107.559,2001-02-07,Indian Ocean
56510_08/02/2001,6.1,27.385,1021.898987,34.074,56510_08/02/2001,-16.354,108.427,2001-02-08,Indian Ocean
53547_09/02/2001,2189.3,2.491,1027.718994,34.735,53547_09/02/2001,-7.102,102.38,2001-02-09,Equatorial Region
53548_10/02/2001,338.3,11.137,1026.75,34.999,53548_10/02/2001,-13.457,114.041,2001-02-10,Indian Ocean
53553_12/02/2001,618.8,6.953,1027.142944,34.641,53553_12/02/2001,-14.146,108.395,2001-02-12,Indian Ocean
69008_12/02/2001,29.2,26.53,1025.525024,38.52,69008_12/02/2001,17.77,39.79,2001-02-12,Indian Ocean
56508_13/02/2001,677.3,6.946,1027.128052,34.621,56508_13/02/2001,-15.924,118.215,2001-02-13,Indian Ocean
56501_14/02/2001,677.8,7.135,1027.012939,34.508,56501_14/02/2001,-23.369,109.743,2001-02-14,Indian Ocean
53554_14/02/2001,298.8,12.576,1026.255981,34.714,53554_14/02/2001,-13.074,107.68,2001-02-14,Indian Ocean
53555_15/02/2001,338.7,10.188,1026.634033,34.633,53555_15/02/2001,-10.457,112.184,2001-02-15,Indian Ocean
53546_16/02/2001,158.0,21.159,1024.064941,34.492,53546_16/02/2001,-14.335,119.96,2001-02-16,Indian Ocean
56510_17/02/2001,1998.1,2.508,1027.706055,34.721,56510_17/02/2001,-16.323,108.276,2001-02-17,Indian Ocean
56509_17/02/2001,1890.8,2.447,1027.704956,34.713,56509_17/02/2001,-21.158,107.673,2001-02-17,Indian Ocean
69008_17/02/2001,374.6,21.54,1028.620972,40.61,69008_17/02/2001,17.79,39.85,2001-02-17,Indian Ocean
53547_19/02/2001,398.4,9.454,1026.796021,34.682,53547_19/02/2001,-6.961,102.611,2001-02-19,Equatorial Region
53548_20/02/2001,798.4,5.775,1027.573975,34.99,53548_20/02/2001,-13.754,114.271,2001-02-20,Indian Ocean
53553_22/02/2001,478.6,8.729,1026.895996,34.661,53553_22/02/2001,-14.009,108.523,2001-02-22,Indian Ocean
69008_22/02/2001,174.1,21.83,1028.453979,40.5,69008_22/02/2001,17.79,39.82,2001-02-22,Indian Ocean
56508_23/02/2001,2122.2,2.365,1027.723022,34.727,56508_23/02/2001,-16.259,118.161,2001-02-23,Indian Ocean
53554_24/02/2001,918.6,5.352,1027.328979,34.615,53554_24/02/2001,-13.004,107.814,2001-02-24,Indian Ocean
56501_24/02/2001,438.8,10.613,1026.750977,34.879,56501_24/02/2001,-23.325,109.405,2001-02-24,Indian Ocean
53555_25/02/2001,379.2,9.854,1026.694946,34.639,53555_25/02/2001,-10.723,112.275,2001-02-25,Indian Ocean
53546_26/02/2001,152.7,20.818,1024.152954,34.486,53546_26/02/2001,-14.174,120.12,2001-02-26,Indian Ocean
69008_27/02/2001,9.1,26.36,1025.291992,38.14,69008_27/02/2001,17.79,39.79,2001-02-27,Indian Ocean
56510_27/02/2001,18.9,27.057,1022.453979,34.671,56510_27/02/2001,-16.449,108.127,2001-02-27,Indian Ocean
56509_27/02/2001,298.5,13.591,1026.550049,35.358,56509_27/02/2001,-21.246,107.877,2001-02-27,Indian Ocean
53547_01/03/2001,157.6,14.605,1025.682007,34.512,53547_01/03/2001,-6.768,102.802,2001-03-01,Equatorial Region
53548_02/03/2001,478.6,8.187,1027.394043,35.189,53548_02/03/2001,-14.083,114.168,2001-03-02,Indian Ocean
69008_04/03/2001,517.7,21.53,1028.630981,40.62,69008_04/03/2001,17.82,39.76,2001-03-04,Indian Ocean
53553_04/03/2001,159.6,18.226,1025.057983,34.792,53553_04/03/2001,-13.998,108.554,2001-03-04,Indian Ocean
56508_05/03/2001,1798.2,2.874,1027.661987,34.706,56508_05/03/2001,-15.898,118.405,2001-03-05,Indian Ocean
53554_06/03/2001,738.7,6.235,1027.222046,34.619,53554_06/03/2001,-12.779,107.986,2001-03-06,Indian Ocean
56501_06/03/2001,1998.2,2.356,1027.714966,34.716,56501_06/03/2001,-23.054,109.036,2001-03-06,Indian Ocean
53555_07/03/2001,398.7,9.493,1026.714966,34.587,53555_07/03/2001,-10.951,112.312,2001-03-07,Indian Ocean
53546_08/03/2001,1798.0,2.796,1027.66394,34.7,53546_08/03/2001,-14.074,120.179,2001-03-08,Indian Ocean
56509_09/03/2001,217.9,17.75,1025.962036,35.818,56509_09/03/2001,-21.478,108.067,2001-03-09,Indian Ocean
69008_09/03/2001,19.1,26.32,1025.124023,37.9,69008_09/03/2001,17.83,39.76,2001-03-09,Indian Ocean
56510_09/03/2001,18.9,27.405,1022.351013,34.682,56510_09/03/2001,-16.511,107.796,2001-03-09,Indian Ocean
53547_11/03/2001,11.4,28.554,1021.523987,34.081,53547_11/03/2001,-6.711,103.14,2001-03-11,Equatorial Region
53548_12/03/2001,198.1,15.012,1026.265015,35.382,53548_12/03/2001,-14.307,113.874,2001-03-12,Indian Ocean
53553_14/03/2001,859.0,5.733,1027.291992,34.628,53553_14/03/2001,-13.976,108.489,2001-03-14,Indian Ocean
69008_14/03/2001,39.2,25.53,1025.425049,37.97,69008_14/03/2001,17.88,39.76,2001-03-14,Indian Ocean
56508_15/03/2001,11.6,30.025,1021.267029,34.396,56508_15/03/2001,-15.47,118.492,2001-03-15,Indian Ocean
