ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
5903666_01/01/2013,1366.0,1.762,1027.784058,34.743,5903666_01/01/2013,-59.814,128.463,2013-01-01,Indian Ocean
5903685_01/01/2013,90.0,15.558,1026.157959,35.402,5903685_01/01/2013,-37.51,120.426,2013-01-01,Indian Ocean
2901331_01/01/2013,46.2,27.931,1021.58197,33.886,2901331_01/01/2013,10.161,88.489,2013-01-01,Bay of Bengal
5903690_01/01/2013,39.3,22.744,1024.192017,35.241,5903690_01/01/2013,-24.603,107.996,2013-01-01,Indian Ocean
5901648_01/01/2013,120.3,0.637,1027.175049,33.89,5901648_01/01/2013,-58.142,135.266,2013-01-01,Indian Ocean
5901641_01/01/2013,1949.5,2.659,1027.708008,34.74,5901641_01/01/2013,-19.25,76.942,2013-01-01,Indian Ocean
5901640_01/01/2013,2000.3,2.441,1027.718994,34.73,5901640_01/01/2013,-16.901,79.361,2013-01-01,Indian Ocean
5903694_01/01/2013,4.1,27.325,1022.505005,34.853,5903694_01/01/2013,-17.074,72.466,2013-01-01,Indian Ocean
5901665_01/01/2013,3100.4,9.998,1025.973022,33.745,5901665_01/01/2013,-28.936,99.922,2013-01-01,Indian Ocean
5903857_01/01/2013,2001.6,2.512,1027.68103,34.69,5903857_01/01/2013,-35.556,108.183,2013-01-01,Indian Ocean
5901611_01/01/2013,474.2,8.981,1026.827026,34.624,5901611_01/01/2013,-34.592,129.104,2013-01-01,Indian Ocean
5901629_01/01/2013,9.2,26.904,1022.442993,34.592,5901629_01/01/2013,-16.562,96.22,2013-01-01,Indian Ocean
5903746_01/01/2013,340.0,11.189,1026.76001,35.024,5903746_01/01/2013,12.113,88.725,2013-01-01,Bay of Bengal
1901327_01/01/2013,20.1,29.356,1022.427979,35.641,1901327_01/01/2013,-4.052,42.076,2013-01-01,Equatorial Region
1901324_01/01/2013,10.3,26.638,1023.041992,35.275,1901324_01/01/2013,-22.82,58.916,2013-01-01,Indian Ocean
5903860_01/01/2013,83.7,23.609,1023.263977,34.348,5903860_01/01/2013,-7.907,95.285,2013-01-01,Equatorial Region
1901330_01/01/2013,5.0,27.963,1022.875,35.62,1901330_01/01/2013,-0.176,58.739,2013-01-01,Equatorial Region
5901714_01/01/2013,449.7,10.147,1026.771973,34.801,5901714_01/01/2013,-41.135,105.411,2013-01-01,Indian Ocean
