ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
2900228_11/11/2002,23.1,28.892,1022.138,35.048,2900228_11/11/2002,0.446,78.239,2002-11-11,Equatorial Region
2900228_15/11/2002,27.5,28.871,1022.455017,35.46,2900228_15/11/2002,0.275,77.817,2002-11-15,Equatorial Region
2900228_21/11/2002,99.0,22.921,1024.312012,35.467,2900228_21/11/2002,-0.001,77.767,2002-11-21,Equatorial Region
5900789_01/01/2006,1399.3,2.226,1027.727051,34.717,5900789_01/01/2006,-54.924,133.974,2006-01-01,Indian Ocean
1900042_01/01/2006,8.8,11.855,1026.515991,34.87,1900042_01/01/2006,-41.276,94.581,2006-01-01,Indian Ocean
5900790_01/01/2006,109.3,-0.797,0.0,33.983,5900790_01/01/2006,-61.913,134.024,2006-01-01,Indian Ocean
2900342_01/01/2006,1003.6,9.424,1027.472046,35.54,2900342_01/01/2006,13.074,53.371,2006-01-01,Indian Ocean
2900346_01/01/2006,139.0,15.648,1026.203979,35.487,2900346_01/01/2006,8.393,57.95,2006-01-01,Equatorial Region
1900187_01/01/2006,0.0,27.097,1023.379028,35.916,1900187_01/01/2006,10.186,86.943,2006-01-01,Bay of Bengal
2900080_01/01/2006,198.8,12.911,1026.574951,35.211,2900080_01/01/2006,4.711,52.669,2006-01-01,Equatorial Region
1900401_01/01/2006,1963.0,2.689,1027.727051,34.767,1900401_01/01/2006,-3.907,51.676,2006-01-01,Equatorial Region
2900105_01/01/2006,379.3,10.568,1026.870972,35.022,2900105_01/01/2006,1.957,80.13,2006-01-01,Equatorial Region
2900355_01/01/2006,349.4,11.94,1026.595947,34.993,2900355_01/01/2006,-8.22,97.694,2006-01-01,Equatorial Region
5900927_01/01/2006,9.5,28.159,1022.328979,34.979,5900927_01/01/2006,-6.534,58.424,2006-01-01,Equatorial Region
1900310_01/01/2006,84.5,21.933,1024.510986,35.359,1900310_01/01/2006,-24.884,66.116,2006-01-01,Indian Ocean
2900353_01/01/2006,149.5,16.898,1025.452026,34.886,2900353_01/01/2006,3.373,90.559,2006-01-01,Equatorial Region
2900358_01/01/2006,349.4,11.107,1026.786011,35.038,2900358_01/01/2006,10.011,95.462,2006-01-01,Bay of Bengal
2900341_01/01/2006,4.2,26.965,1023.974976,36.651,2900341_01/01/2006,9.331,60.106,2006-01-01,Equatorial Region
5900480_01/01/2006,439.4,11.664,1026.702026,35.062,5900480_01/01/2006,-19.606,89.278,2006-01-01,Indian Ocean
2900498_01/01/2006,4.7,27.496,1022.393982,34.779,2900498_01/01/2006,-14.829,67.198,2006-01-01,Indian Ocean
1900395_01/01/2006,5.0,28.148,1022.515991,35.223,1900395_01/01/2006,-2.156,66.378,2006-01-01,Equatorial Region
2900349_01/01/2006,19.3,28.206,1022.51001,35.24,2900349_01/01/2006,1.283,82.992,2006-01-01,Equatorial Region
2900354_01/01/2006,4.5,28.745,1021.879028,34.638,2900354_01/01/2006,-7.565,98.289,2006-01-01,Equatorial Region
2900497_01/01/2006,1198.9,4.634,1027.496948,34.722,2900497_01/01/2006,-13.383,67.908,2006-01-01,Indian Ocean
5900340_01/01/2006,479.6,2.413,1027.494995,34.447,5900340_01/01/2006,-57.759,120.871,2006-01-01,Indian Ocean
1900356_01/01/2006,39.5,21.884,1024.031982,34.711,1900356_01/01/2006,-11.018,76.092,2006-01-01,Indian Ocean
1900355_01/01/2006,219.3,12.175,1026.573975,35.023,1900355_01/01/2006,-9.819,68.681,2006-01-01,Equatorial Region
1900097_01/01/2006,189.3,13.625,1026.526001,35.336,1900097_01/01/2006,-35.721,63.818,2006-01-01,Indian Ocean
1900353_01/01/2006,269.3,12.391,1026.48999,34.969,1900353_01/01/2006,-12.016,63.75,2006-01-01,Indian Ocean
1900354_01/01/2006,4.4,28.139,1022.080994,34.641,1900354_01/01/2006,-11.797,76.376,2006-01-01,Indian Ocean
2900347_01/01/2006,548.9,10.333,1027.055054,35.205,2900347_01/01/2006,3.976,66.568,2006-01-01,Equatorial Region
1900154_01/01/2006,0.0,28.57,996.137024,0.084,1900154_01/01/2006,-5.631,38.911,2006-01-01,Equatorial Region
2900336_01/01/2006,329.3,11.857,1026.708008,35.117,2900336_01/01/2006,6.431,70.423,2006-01-01,Equatorial Region
1900368_01/01/2006,449.0,9.655,1027.000977,34.987,1900368_01/01/2006,-1.308,45.088,2006-01-01,Equatorial Region
2900495_01/01/2006,4.2,27.803,1022.299011,34.784,2900495_01/01/2006,-12.219,71.231,2006-01-01,Indian Ocean
1900227_01/01/2006,479.2,9.635,1026.906006,34.861,1900227_01/01/2006,-4.902,71.085,2006-01-01,Equatorial Region
1900230_01/01/2006,339.2,11.717,1026.80603,35.209,1900230_01/01/2006,9.057,53.522,2006-01-01,Equatorial Region
5900791_02/01/2006,164.4,0.526,1027.265015,33.993,5900791_02/01/2006,-56.507,117.018,2006-01-02,Indian Ocean
5900946_02/01/2006,259.2,11.616,1026.567993,34.879,5900946_02/01/2006,-8.944,87.361,2006-01-02,Equatorial Region
5900945_02/01/2006,319.2,11.184,1026.543945,34.745,5900945_02/01/2006,-11.908,86.214,2006-01-02,Indian Ocean
5900254_02/01/2006,49.2,26.51,1022.492004,34.491,5900254_02/01/2006,-15.262,92.855,2006-01-02,Indian Ocean
5900034_02/01/2006,79.8,26.976,1022.687988,34.948,5900034_02/01/2006,-9.912,94.986,2006-01-02,Equatorial Region
1900357_02/01/2006,4.5,28.484,1021.60199,34.153,1900357_02/01/2006,-11.658,76.783,2006-01-02,Indian Ocean
1900372_02/01/2006,189.3,12.767,1026.547974,35.139,1900372_02/01/2006,0.211,47.986,2006-01-02,Equatorial Region
1900484_02/01/2006,2001.9,1.204,1027.814941,34.731,1900484_02/01/2006,-51.369,43.215,2006-01-02,Indian Ocean
1900374_02/01/2006,1102.4,35.584,1003.35199,12.89,1900374_02/01/2006,6.649,52.54,2006-01-02,Equatorial Region
1900586_02/01/2006,1999.7,3.316,1027.720947,34.831,1900586_02/01/2006,7.91,59.653,2006-01-02,Equatorial Region
1900201_02/01/2006,975.0,3.319,1027.015015,33.947,1900201_02/01/2006,-45.311,31.384,2006-01-02,Indian Ocean
2900093_02/01/2006,4.9,27.592,1020.465027,32.254,2900093_02/01/2006,17.684,91.518,2006-01-02,Bay of Bengal
1900335_02/01/2006,1638.0,2.339,1027.712036,34.71,1900335_02/01/2006,-47.521,46.54,2006-01-02,Indian Ocean
2900355_02/01/2006,119.3,20.094,1024.589966,34.806,2900355_02/01/2006,-8.22,97.694,2006-01-02,Equatorial Region
1900311_02/01/2006,579.5,9.024,1026.860962,34.676,1900311_02/01/2006,-17.351,74.635,2006-01-02,Indian Ocean
5900925_02/01/2006,999.1,5.233,1027.370972,34.651,5900925_02/01/2006,-11.32,82.775,2006-01-02,Indian Ocean
5900926_02/01/2006,119.4,17.731,1025.166016,34.774,5900926_02/01/2006,-10.096,83.09,2006-01-02,Indian Ocean
2900342_02/01/2006,129.0,17.955,1025.758057,35.618,2900342_02/01/2006,13.074,53.371,2006-01-02,Indian Ocean
5900178_02/01/2006,1999.0,2.337,1027.740967,34.746,5900178_02/01/2006,-35.569,115.481,2006-01-02,Indian Ocean
5900924_02/01/2006,999.0,5.344,1027.391968,34.694,5900924_02/01/2006,-9.394,81.084,2006-01-02,Equatorial Region
1900322_02/01/2006,1982.0,2.503,1027.682983,34.692,1900322_02/01/2006,-38.742,74.078,2006-01-02,Indian Ocean
5900037_02/01/2006,219.4,13.324,1026.055054,34.648,5900037_02/01/2006,-9.531,105.776,2006-01-02,Equatorial Region
2900343_02/01/2006,19.1,27.819,1022.888977,35.576,2900343_02/01/2006,3.188,69.666,2006-01-02,Equatorial Region
5900341_02/01/2006,2000.0,1.17,1027.813965,34.726,5900341_02/01/2006,-58.478,106.689,2006-01-02,Indian Ocean
2900531_02/01/2006,5.0,28.853,1021.505981,34.189,2900531_02/01/2006,2.367,85.365,2006-01-02,Equatorial Region
5900792_02/01/2006,1749.4,1.323,1027.812012,34.737,5900792_02/01/2006,-58.024,113.142,2006-01-02,Indian Ocean
1900135_02/01/2006,285.0,-2.0,0.0,54.756,1900135_02/01/2006,-29.965,73.896,2006-01-02,Indian Ocean
2900336_02/01/2006,38.8,28.045,1023.320984,36.248,2900336_02/01/2006,6.432,70.407,2006-01-02,Equatorial Region
2900457_02/01/2006,10.1,27.381,1022.197021,34.468,2900457_02/01/2006,-12.791,103.37,2006-01-02,Indian Ocean
2900356_02/01/2006,348.8,10.202,1026.730957,34.761,2900356_02/01/2006,-9.824,96.152,2006-01-02,Equatorial Region
5900801_02/01/2006,538.8,2.044,1027.708984,34.676,5900801_02/01/2006,-57.113,104.616,2006-01-02,Indian Ocean
2900349_02/01/2006,289.1,11.404,1026.743042,35.053,2900349_02/01/2006,1.111,82.386,2006-01-02,Equatorial Region
5900335_02/01/2006,2002.1,2.48,1027.687988,34.695,5900335_02/01/2006,-37.242,111.198,2006-01-02,Indian Ocean
2900337_02/01/2006,279.0,12.882,1026.703979,35.37,2900337_02/01/2006,11.716,62.374,2006-01-02,Arabian Sea
1900585_02/01/2006,159.5,13.642,1026.498047,35.304,1900585_02/01/2006,6.843,59.627,2006-01-02,Equatorial Region
1900375_02/01/2006,499.3,9.617,1027.166992,35.192,1900375_02/01/2006,6.777,53.568,2006-01-02,Equatorial Region
1900376_02/01/2006,2008.4,2.794,1027.727051,34.779,1900376_02/01/2006,-1.156,65.866,2006-01-02,Equatorial Region
2900337_03/01/2006,399.2,11.989,1026.912964,35.414,2900337_03/01/2006,11.716,62.374,2006-01-03,Arabian Sea
2900563_03/01/2006,4.4,26.517,1023.169006,35.393,2900563_03/01/2006,-0.33,50.138,2006-01-03,Equatorial Region
4900669_03/01/2006,299.2,11.98,1026.649048,35.071,4900669_03/01/2006,5.935,87.687,2006-01-03,Bay of Bengal
5900804_03/01/2006,289.4,3.813,1027.130981,34.152,5900804_03/01/2006,-50.161,115.837,2006-01-03,Indian Ocean
2900558_03/01/2006,898.9,10.953,1027.355957,35.733,2900558_03/01/2006,12.564,52.818,2006-01-03,Indian Ocean
2900539_03/01/2006,239.4,12.064,1026.524048,34.931,2900539_03/01/2006,-7.659,85.958,2006-01-03,Equatorial Region
1900507_03/01/2006,9.5,6.323,1026.977051,34.324,1900507_03/01/2006,-45.084,50.824,2006-01-03,Indian Ocean
1900321_03/01/2006,938.0,5.167,1027.137939,34.347,1900321_03/01/2006,-45.282,119.521,2006-01-03,Indian Ocean
1900044_03/01/2006,99.5,10.011,1026.602051,34.554,1900044_03/01/2006,-47.319,124.168,2006-01-03,Indian Ocean
1900196_03/01/2006,998.9,2.52,1027.593994,34.582,1900196_03/01/2006,-45.011,68.549,2006-01-03,Indian Ocean
2900343_03/01/2006,1001.1,7.075,1027.426025,35.022,2900343_03/01/2006,3.188,69.666,2006-01-03,Equatorial Region
2900339_03/01/2006,995.5,7.35,1027.458984,35.114,2900339_03/01/2006,6.916,60.286,2006-01-03,Equatorial Region
5900854_03/01/2006,179.5,17.605,1025.975952,35.79,5900854_03/01/2006,-22.818,109.792,2006-01-03,Indian Ocean
5900044_03/01/2006,34.6,24.858,1023.323975,34.918,5900044_03/01/2006,-16.738,101.664,2006-01-03,Indian Ocean
1900051_03/01/2006,269.2,15.212,1026.313965,35.503,1900051_03/01/2006,-28.435,43.541,2006-01-03,Indian Ocean
2900562_03/01/2006,599.4,9.777,1027.094971,35.134,2900562_03/01/2006,4.149,55.746,2006-01-03,Equatorial Region
7900022_03/01/2006,2739.5,27.783,1023.122986,35.871,7900022_03/01/2006,-64.222,35.712,2006-01-03,Indian Ocean
5900855_03/01/2006,4.6,26.421,1022.945984,35.056,5900855_03/01/2006,-17.606,111.845,2006-01-03,Indian Ocean
5900863_03/01/2006,119.7,19.597,1024.667969,34.737,5900863_03/01/2006,-10.892,108.066,2006-01-03,Indian Ocean
5900179_03/01/2006,299.3,12.376,1026.652954,35.175,5900179_03/01/2006,-31.407,92.42,2006-01-03,Indian Ocean
2900394_03/01/2006,998.7,8.714,1027.475952,35.398,2900394_03/01/2006,19.84,63.652,2006-01-03,Arabian Sea
5900805_03/01/2006,59.3,6.298,1026.656006,33.913,5900805_03/01/2006,-53.657,137.179,2006-01-03,Indian Ocean
5900256_03/01/2006,699.0,6.802,1027.18396,34.667,5900256_03/01/2006,-16.571,104.884,2006-01-03,Indian Ocean
2900356_03/01/2006,339.4,10.299,1026.709961,34.756,2900356_03/01/2006,-9.824,96.152,2006-01-03,Equatorial Region
2900570_03/01/2006,39.3,27.927,1022.525024,35.139,2900570_03/01/2006,-0.023,79.448,2006-01-03,Equatorial Region
2900534_03/01/2006,4.6,28.043,1022.455017,35.096,2900534_03/01/2006,2.525,77.616,2006-01-03,Equatorial Region
5900032_03/01/2006,59.0,27.528,1022.04303,34.326,5900032_03/01/2006,-12.368,86.135,2006-01-03,Indian Ocean
2900567_03/01/2006,129.6,17.046,1025.625977,35.158,2900567_03/01/2006,0.506,74.829,2006-01-03,Equatorial Region
2900531_03/01/2006,189.4,13.293,1026.369995,35.046,2900531_03/01/2006,2.504,84.836,2006-01-03,Equatorial Region
